Cseh Lili,		2019-01-23 18:30:00	2004-12-04 01:00:00	2013-03-07 17:00:00	2013-03-08 19:00:00	2007-05-15 18:00:00	2015-12-02 18:00:00	2015-12-04 18:00:00	2010-09-14 18:00:00	2010-09-17 18:00:00	2012-05-31 19:00:00	2012-05-31 18:00:00	2016-05-18 18:00:00	2016-05-20 18:00:00	2006-12-04 18:00:00	2006-12-05 18:00:00	2008-10-17 15:30:00	2008-10-16 18:00:00	2019-03-07 18:00:00	2019-03-05 16:30:00	2012-02-23 18:00:00	2012-02-22 18:00:00	2011-04-08 19:00:00	2006-05-02 18:00:00	2004-07-01 17:00:00	2004-07-01 17:00:00	2004-07-01 18:00:00	2004-10-13 18:00:00	2006-04-19 18:00:00	2011-07-13 15:30:00	2011-07-13 12:00:00
Passuth Krisztina művészettörténész		2018-01-25 18:00:00	2014-04-05 15:30:00	2014-04-02 18:00:00
Kerekasztal-beszélgetés		2011-03-02 18:00:00	2011-03-03 18:00:00
Babiczky Tibor költő		2012-01-12 18:00:00	2012-01-13 18:00:00
Mircea Cantor,		2003-08-13 19:00:00	2003-08-14 17:00:00	2008-09-23 18:00:00	2008-09-26 19:00:00
dr. Gálig Zoltán,		2004-07-28 18:00:00	2004-07-29 17:00:00	2004-03-23 18:00:00	2004-03-25 18:00:00
Erfan Khalifa,		2003-08-13 19:00:00	2003-08-15 17:00:00
Fenyvesi Áron		2012-11-23 19:00:00	2012-11-22 19:00:00	2019-02-04 19:00:00	2019-02-08 19:00:00	2010-09-23 18:00:00	2010-09-26 17:00:00	2019-11-27 18:30:00	2019-11-27 18:00:00	2012-11-08 19:00:00	2012-11-08 19:00:00	2012-11-08 19:00:00	2012-11-06 19:00:00	2009-12-01 18:00:00	2009-12-01 18:00:00	2010-04-29 18:00:00	2010-04-29 19:00:00	2011-09-10 11:00:00	2011-09-08 18:00:00	2016-05-18 18:00:00	2016-05-19 18:00:00	2014-04-30 18:00:00	2014-04-29 18:00:00	2011-03-20 11:00:00	2011-03-18 18:00:00	2008-04-18 18:00:00	2017-01-18 18:00:00	2017-01-17 18:00:00	2008-06-27 19:00:00	2018-05-02 18:00:00	2010-08-24 18:00:00	2007-11-22 18:00:00	2007-11-22 19:00:00	2018-05-09 18:00:00	2018-05-11 18:00:00	2017-09-05 17:00:00	2017-09-06 18:00:00	2011-03-12 18:00:00	2011-03-09 19:00:00	2012-10-20 16:30:00	2012-10-18 19:00:00	2014-09-26 19:00:00	2014-09-28 18:00:00	2016-12-15 18:00:00	2016-12-16 19:00:00	2016-04-01 18:00:00	2016-03-31 19:00:00	2019-11-05 18:00:00	2019-11-09 16:00:00	2017-01-25 18:00:00	2017-01-27 18:00:00	2010-03-27 11:00:00	2010-03-26 19:00:00	2008-09-03 17:00:00	2019-01-29 18:00:00	2017-09-14 17:00:00	2017-09-14 19:00:00	2018-09-07 19:00:00	2014-07-02 16:00:00	2014-07-03 19:00:00	2017-06-20 16:30:00	2017-06-20 16:30:00	2017-06-24 18:00:00	2017-06-23 18:00:00	2012-02-23 18:00:00	2012-02-24 19:00:00	2018-07-28 16:00:00	2018-07-24 18:00:00	2012-02-11 16:00:00	2012-02-10 18:00:00	2016-06-18 16:00:00	2016-06-17 18:00:00	2010-01-12 19:00:00	2010-01-15 19:00:00	2011-03-24 18:00:00	2011-03-24 19:00:00	2011-02-10 18:00:00	2011-02-07 18:00:00	2017-04-09 16:00:00	2017-04-05 18:00:00	2008-09-23 18:00:00	2008-09-25 19:00:00	2008-05-06 18:00:00	2008-05-07 19:00:00	2016-11-03 18:00:00	2016-11-03 19:00:00	2016-05-11 18:00:00	2016-05-13 18:00:00	2012-04-24 18:00:00	2012-04-25 19:00:00	2013-02-19 18:00:00	2013-02-21 19:00:00	2016-11-09 18:00:00	2016-11-13 15:00:00	2014-04-05 15:30:00	2014-04-03 19:00:00
kerületi esperes		2013-12-17 19:00:00	2013-12-21 17:00:00
Nagy Péter András,		2009-06-26 23:55:00	2009-06-25 20:00:00
Dr. Veres András szombathelyi megyéspüspök		2014-11-06 18:00:00	2014-11-06 17:00:00
Boris Groys,		2009-11-14 19:30:00	2009-11-10 18:00:00
Péter Bencze		2017-10-03 19:00:00	2017-10-04 19:00:00
Richter Zsuzsi,		2014-09-03 10:00:00	2014-09-05 18:00:00
Dr. Döbröczöni Ádám egyetemi tanár		2013-07-31 18:00:00	2013-07-31 17:00:00
Fenekovács László,		2015-02-18 00:00:00	2015-02-19 18:30:00
Ejtech,		2016-02-10 19:00:00	2016-02-11 19:00:00
Szombathy Bálint képzőművész		2015-03-31 19:30:00	2015-03-31 18:00:00
Kunkovács László,		2008-02-27 18:00:00	2008-02-28 17:00:00	2011-01-21 17:00:00
Magyari Balázs		2017-08-23 18:00:00
Viola Szandra,		2012-10-14 16:00:00	2012-10-11 18:30:00
Swoboda Katharina,		2013-05-28 18:00:00	2013-05-28 18:00:00
Végső Zoltán		2014-04-13 15:00:00
performer,		2016-05-18 18:00:00	2016-05-17 18:00:00
Gellér B. István,		2014-10-07 17:00:00	2014-10-12 18:00:00	2008-09-11 17:00:00	2008-09-08 18:00:00	2008-11-20 19:00:00	2008-11-20 19:00:00	2008-11-20 19:00:00	2008-11-20 18:00:00	2003-05-06 16:00:00	2003-05-07 17:00:00	2018-12-06 17:30:00	2014-10-02 19:00:00	2000-03-17 21:00:00	2000-03-14 18:00:00	2015-02-04 18:00:00	2015-02-05 18:00:00	2015-07-01 18:00:00	2013-11-05 19:00:00	2013-11-08 18:00:00
EJTECH,		2019-10-11 19:00:00
közel 100 művész,		2015-12-09 19:00:00
Sipos Tünde,		2014-04-24 19:00:00	2014-04-25 19:00:00
Kovács Melinda,		2018-04-04 18:00:00	2018-04-04 18:00:00	2014-11-10 19:00:00	2014-11-13 18:00:00	2008-01-15 18:30:00	2018-11-08 18:00:00	2015-03-05 17:00:00	2015-03-03 18:00:00	2000-02-17 18:00:00	2000-02-17 17:00:00
Schuch Lili,		2013-01-27 16:00:00	2013-01-23 18:00:00
Alejandro Jodorowsky		2013-05-07 16:30:00	2013-05-06 19:00:00
Mohamed Abouelnaga (EG),		2017-06-20 16:30:00	2017-06-24 16:00:00
Bureau d’Etudes,		2017-09-05 17:00:00	2017-09-07 18:00:00
Myriam Laplante (Olaszország),		2002-10-17 17:00:00	2002-10-15 18:00:00
Miljenko Horvat,		2019-09-14 18:00:00	2019-09-13 18:00:00
Schulcz Katalin,		2016-09-15 16:00:00
Laszlo Kiss,		2002-03-18 17:00:00	2002-03-22 17:00:00
Dr. Professor,		2014-10-26 16:00:00	2014-10-20 18:00:00
STEIN Anna,		2014-08-26 16:30:00	2014-08-31 18:00:00
Andreas Berde		2009-04-03 16:00:00	2009-04-02 18:00:00
