	8
Meshac Gaba,	2
Velazquez / Wetmore,	6
Takács Péter műgyűjtő	2
Votin Dóra,	4
Dávid Anna Dóra,	2
Lépold Zsanett	2
Bán András műkritikus,	6
PETTENDI SZABÓ Péter,	6
KAMPER Lajos,	2
MEMBRANDT,	2
Hincz Gyula	2
Electric Petting,	2
Sziládi Mónika	2
Francoise Gillot,	2
Valeryia Dauhalevich	2
dr. Feledy Balázs,	1
Leal Enrique M.,	1
Koleszár Kata,	2
Takács Ágnes,	9
FORMA,	2
Garainé Lóránt Andrea,	2
DÉKÁN - DEÁK Csenge,	2
Megelevenített ősbemutató,	2
Sárai Vanda,	5
Martincsák Kata,	2
Lődör Dániel képzőművész	2
Vass Tibor  ▪ Kecskés Péter,	2
Piergiorgio ZANGARA (I),	2
Mladen Miljanović	4
Böröcz András,	26
Hrabéczy Ernő,	1
Karl-Heinz Adler és a magyar absztrakció,	6
Harmath Artemisz	2
ROSKÓ Gábor,	6
Alfons Mucha,	1
Dr. H.C. Plesz Antal Széchenyi és Ybl-díjas építész,	2
Nobuyoshi Araki,	4
Kismarty-Lechner Balázs	2
Borbás Róbert,	1
Varga Klaudia,	2
Caspar Stracke (USA/DE),	2
Földvári Zsuzsanna,	2
Lorányi Judit	1
Daniel ARHIPENKO,	2
Zoë Gray	2
Jade Niklai	2
Camille Claudel,	2
Gyulai Liviusz,	2
Katarzyna Karpowicz,	4
Péli Barna és Galbovy Attila,	2
Amadinda együttes,	2
ikOn	2
A SZOLNOKI MŰVÉSZTELEP GALÉRIÁJÁBAN,	1
ecycling Mission Hungary,	4
Gábor Dobó	2
Pléh Csaba,	6
Jánossy Ferenc,	1
Barabás Örs,	1
Tony Cragg	2
Barta István,	1
Kurátor: Baki Péter  a Magyar Fotográfiai Múzeum igazgatója,	2
Könyvbemutató,	8
Antal Anna Katalin,	3
Giancarlo CAPORICCI (I-F),	4
Tillmann J. A.	19
Várkert Bazár,	6
Katona Katalin ötvösművész,	2
David Lynch: Small Stories	8
Kaszás Tamás	8
Odegnál Péter,	2
Derecskei Andrea	2
Rubóczki Erzsébet	1
Lux Elvira pszichiáter	1
Christian Stahl,	2
francia,	1
GYARMATHY TIHAMÉR,	2
ZSADÁNYI HAJNALKA	1
Block csoport,	6
Győrffy Éva,	2
Fejős Zoltán	2
Vincze Balázs,	5
franyo aatoth,	7
Károlyi Ernő festőművész,	1
Kristóf Krisztián,	36
Vladimir Dubosarskii és Alexander Vinogradov,	2
Vándor Csaba és a SZAF ...,	2
Chantal Beret,	1
Jász Attila	2
Koller Margit,	33
Plágium2000,	2
Vilt Tibor,	4
László Helga,	6
Ai Wei Wei,	2
Interkulturális Tájékoztató	2
Gáspár Eszter,	2
Emilio Morandi,	2
Danilo Eccher,	1
Megyik János,	20
megnyitja : Dr. Surányi András filmrendező	1
Bíró Botond,	16
Benkő Viktor,	4
Medve Zsuzsa,	5
SZABÓ Attila,	6
Nagy Zoltán	2
Kiss Gyula DLA építész	2
Khaled Jarrar [PS],	2
szlovén kortárs művészek,	2
Oláh Mátyás László	2
Mattis Teutsch Waldemár,	1
Berki Martin,	2
19 alkotó,	2
Emil Goodman a.k.a. Szabó András,	1
Dobó Krisztina,	27
Alexander Petkov,	2
DAN MĂCIUCĂ,	2
Florin ŞTEFAN,	1
Botos András,	2
dr. Fabényi Julia	5
Sinkó István képzőművész,	3
Pataki Gábor,	8
KOPEK Rita,	2
A Bécsi Közgazdasági és Üzleti Egyetem új kampusza Előadás és könyvbemutató,	1
konceptor,	1
Tanya Ury,	1
MOTOKO KATSUTA,	2
KOVÁCS PÉTER BALÁZS,	2
Zsófia KERESZTES,	2
Veszprémi Sára,	2
Both András színész,	2
Joseph Kosuth,	10
Rozmann Ágnes,	3
Mesterházy Kata,	1
Széplaky Gerda,	2
USA - Lana Ing Gabor,	2
Vladimir Nikoliæ,	2
Székely Kata	2
Heather Calbraith és Timár Katalin	1
Földes András	3
SIPOS István,	2
Molnár Judit	1
Gallusz Gyöngyi képzőművész,	3
ÉBERLING ANIKÓ	1
Gesine Grundmann,	8
Salome Kokoladze,	1
Danku Dorottya,	2
Budahelyi Tibor,	8
Marko Rodics	2
ELTE Szociológia szak,	2
Nemes Csaba (HU),	6
Jana Želibská,	10
Mona Radziabari,	2
Kiss Gábor alpolgármester	6
Anna Toth,	2
Guillaume Piens,	2
Barta Lajos	3
pedagógusoknak,	1
Marketa Othova,	4
Horváth R. Gideon,	9
Uhl Gabriellla,	2
Bittner Meenakshi Dóra	2
Hegyi Béla,	1
Almir MAVIGNIER,	2
PETER TAIKOV	2
Boushra AL MOUTAWAKEL,	2
Ilka Rita performansza,	1
Aron Rantatalo,	2
Fazekas Veronika,	2
deBort,	1
Varga Amár László,	1
SZALAI Attila előadása	2
Demszky Gábor	2
BÁNKI ÁKOS,	4
Kertész László	6
művészeti menedzser	4
Timm Starl fotókritikus (Bécs)	2
KOVÁCS Attila,	10
Ferenczi Zsolt,	1
Grażka Lange,	1
felhívás,	2
Iványi Grünwald Béla,	2
Kósa János DLA  a Festő Tanszék vezetője,	2
Kabai László,	2
Maja és Reuben FOWKES,	2
Vékony Dorottya – Farkas Júlia,	2
DIY workshopok Kozma szellemében	2
Barbora Horska,	2
SZÖllŐSi-NAGY András,	2
Horváth Roland	2
Nadzeya Hadun (Fehéroroszország),	2
Szilágyi Kornél,	12
Tallós Ilona,	2
Knyihár Bence,	2
Michal Moravèik (SK),	3
Dóra Attila	11
szobrász hallgatók,	2
GENTIAN SHKURTI,	1
Benes Bátor,	2
Közreműködik: Szilágyi Sándor BELLs-zenész	2
Szijártó Kálmán	1
Piróth Tímea,	2
a linzi Lentos Kunstmuseum igazgatója	2
Fiona Liewehr	1
Dr. Sütö Csaba A Barcsay Jenő Képzőművészeti Alapítvány alelnöke,	2
Bíró Ferenc	2
SUNROOTS	1
magyar designerek és képzőművészek,	2
Claudia Martins,	5
Máriás István- Horror Pista,	2
Kotún Viktor,	2
Palka József,	2
Sebő Ferenc	2
PART,	2
Feket-Kiss Sándor	1
Altorjay Gábor	6
Várkonyi György,	4
Szentesi Csaba - Végh Marcell- Brigitte Lang,	2
Feles Dániel,	2
Szy Katalin pszichológus-író	2
Free Műcsarnok facebook csoport,	2
a művész	7
Alba Romano Pace  történész,	2
Loránt Anikó E.,	1
Erdely Emese,	2
Kipp Eva /NL,	2
közel 70 képzőművész,	1
Kateøina ©eda,	2
Lipkovics Péter	2
Vilo Slaminka,	2
Onur Senturk (TR),	2
Kriván Marcell bemutatkozó kiállítása,	2
Winter  Julia	2
HÁMOS Gusztáv,	2
pjotrphoto	2
Karattur Katalin,	2
Benjamin Thaler festőművész,	2
100 világhírű plakátművész,	4
Csatlós Judit,	38
Lőrinc BORSOS (H),	2
Nagy Csaba építész	2
Zemlényi Attila	2
Baies Radu,	2
Danica Lovi¹ková,	6
Kotun V. L.,	2
Csavlek András festőművész,	1
az IMPEX Nem kacsák vagyunk egy tavon,	2
Üveges Krisztina	14
Barbara YOSHIDA,	2
Jan PFEIFFER,	4
Schiller Erzsébet,	2
Csiszer Zsuzsi,	2
C. T. JASPER (PL) & Joanna MALINOWSKA (USA/PL),	2
Alscher Bettina,	1
Hanuszik Zsolt,	2
Váczi Dániel	1
Kőszeghy Flóra,	4
Hertelendi Amanda,	2
Danielle de Picciotto and Alex Hacke,	4
Szöllőssy Enikő,	10
Rutkai Bori +Fazekas Bence Bizottság együttesről szóló filmje	1
Szíj Kamilla	13
Sidó Anna,	2
Czobor Sándor,	2
Paula Brett,	2
Harun Farocki,	6
Garda Aladár László,	2
Deák Nóra igazgató,	2
Varga Mátyás OSB  esztéta	2
Nagy Csilla (H),	1
Hegedűs István,	2
Marcos Tedeschi,	4
KARÁCSONYI LÁSZLÓ,	1
Joyce Kozloff,	2
GRIGORESCU,	2
Maurits Ferenc,	1
Romváry Márton,	2
Antal Balázs & Hatházi László,	2
GYENES Zsolt,	11
Tomasz Dobiszewski,	1
Novák Valentin	2
Blazsek András,	11
grafikusművész,	5
Foster Jakab,	1
SZABÓ NORBERT,	2
Vajda Lajos,	21
Fekete László,	6
Bakó Helén,	2
Pavel Bra,	2
Adina Mocanu,	2
Hervé Ferrage,	4
Varga-Amár László,	11
Kövessy Róbert	1
Péli Péter szemináriumi oktató,	6
Bugovits Anikó,	10
KONKOLY Gyula,	7
Résztvevők: Wessely Anna,	2
Dr. Bordács Andrea	5
Ayelet Hashachar Cohen,	2
Pettendi-Szabó Péter	2
Korcsmár Eszter,	14
Kecskés Péter képzőművész,	2
Otomo Yoshihide,	2
Sáry Bánk zeneszerzővel,	2
Galambos Ádám	4
az MKE hallgatói	2
Csáji Attila,	18
műkritikus	6
Jörg SCHLICK,	4
Kulturökológiai és Környezeti Kommunikációs Tanszék	2
Szabitov,	2
Team FW,	2
Meggyesházi Éda,	2
Vadim Fi¹kin,	1
Repászki Béla m.v.,	2
Voytenko Ganna	7
FEJŐS MIKLÓS- festőművész,	2
Friederike Steinmann / Németország,	2
-----	3
Veres Gyula,	1
Bátori Zsolt - Budapesti Metropolitan Egyetem,	2
MISS KK,	2
Ziggurat Csoport	2
Katona Ildikó  az MKB Private banking vezetője	2
GYőRFFY László,	2
Reischl Szilvi,	2
művészeti író	19
Dávid BIRÓ,	1
Martin Blazícek (CZ),	1
*	5
Danièle Huillet és Jean-Marie Straub,	2
MKE Szobrász Tanszék tanárai	2
Bohár András,	5
Péter Vladimir,	1
Wes Wilson,	1
Csernák-Riskó Boldizsár (HU),	2
A_D_A_B,	2
Nicola Trezzi	1
Sophie Webel,	1
Tasnádi Szadra,	2
Verebics Kata,	2
SZABÓ Ferenc János,	2
HAJAS Tibor,	2
Carmelo Arden Quin,	2
Kosaras Renáta,	2
Török-Illyés Orsolya,	1
Bolygó Bálint UK,	2
Reischl Szilvia	2
Rácz Noémi,	6
Rutkiewicz (P),	2
VIRÁG JUDIT GALERI,	2
Gálik András és Havas Bálint,	1
ESSE BÁNKI ÁKOS	1
Bolmányi Ferenc,	3
Matilda Ekström,	2
Fűkő Béla,	2
Marko Tadič,	2
PÁL Bella,	2
Gauder Áron,	2
Atau Tanaka / Kasper Toeplitz,	1
BASCH Árpád,	2
Rose Materdomini,	2
Thypus,	2
Kecskés Péter: Elgabal/Narkissos,	1
Prosek Zoltán,	4
Chang-Soo Kim (Dél-Korea),	2
Kusovszky Bea,	21
Robert Abkorovits,	2
Mo Lin (Taiwan),	2
FORGÓ Árpád,	4
BEATA JACZEWSKA a Nemzetközi Visegrádi Alap igazgatója	2
Mottl Rita,	2
Melanie Isverding,	2
a Nessim Galéria vezetője	2
Běla Kolářová,	1
Andrew Hammerand,	2
a művész jelenlétében,	1
Horváth Bence,	2
az Agentur der Fotografen,	1
CSEH ÜVEG /Libenszky tanítványok	1
LITTLE WARSAW,	8
Nagy Kristóf,	9
Imi Knoebel,	1
flashmob,	2
Komornik Eszter,	6
Ľudovít Petránsky,	2
Pilvi Takala,	2
Schnitzler János,	2
Sz. Bíró Zoltán,	2
Mag Kriszti,	2
HALÁSZ Péter,	2
Hanna Schimeck,	2
Tavir Das	1
Július Koller,	5
Marina Abramović / Ulay,	4
Magyar Újságírók Országos Szövetségének vándorkiállítása,	2
Mátyási Péter (Magyaro.),	2
beszélgetés és felolvasás,	2
ZEMAN Zoltán,	2
norvég,	4
Kim Knoppers (Foam),	1
Paolo Nozolino	2
Cantemir Hausi,	1
Universitat Essen,	1
gardon.	2
Huszti János,	7
Magyarics Tibor,	6
Mezősi Eszter,	2
Tóth Ágnes,	3
Erdély Dániel,	10
Róna Jutka,	1
Florian Pugnaire (FR),	3
Walter Smerling	2
Bellák Gábor	2
Illés Bódi Barbara BOBA,	2
TérTársulat,	2
Tehnica Schweiz	2
Intertájék,	1
Seres János,	4
Korhatár nélkül – családi nap	7
Fisli Éva	4
Iparművészeti Múzeum - Ötvös osztály,	2
Tanja Nellemann Poulsen,	2
Je suis belle,	2
Kovai Cecília (kulturális antropológus phd hallgató),	2
Łukasz Patelczyk,	2
Palásti Erzsébet,	2
Tomay Katalin,	2
Kudász Gábor Arion,	60
Lakos Tamás,	2
Pölte Lívia,	3
anna varro,	1
Kádasi Éva,	1
Beszélgetés a "Fekete-Fehér Kongó" kiállítás kapcsán,	2
Pósalaki Anett,	2
Makkai-Kovács Beatrix	2
Stark Att,	2
Pál Zs. Rebeka,	2
Karolina Lewandowska (Zacheta  Warsaw),	2
Borsos Miklós,	12
Andro Wekua,	2
Breuer Marcell,	7
Képzőművészeti és zenei performanszok  előadások,	1
STEWE HORRIBLE,	1
Kocsis Gáspár,	2
BASCH Andor,	2
Kiss Tamás,	2
Nagy Szilvi	2
Tintér Attila	2
Marina Kaljurand,	2
Ivica Langerova-Vidrova,	2
Bogdan RAÞA (RO),	2
Erdész Barna,	4
Péterfy Bori	2
Alanna Heiss,	4
dr. Striker Sándor  művelődéskutató	2
k.r.u.ž.o.k. (Nataša Bodrožić,	2
FAZAKAS - KOSZTA Tibor,	2
Twien Wits (NL)	1
Havasréti József,	5
Könyvtártúrák | BBS	2
HENNING LARSEN ARCHITECTS,	2
NÉMETH-KASSA Gábor m.v.,	2
Kalligram,	2
Pilinger Erzsébet művészettörténész	2
Helmut és Johanna Kandl: videók,	2
Florian Lang,	1
Giorgia Fonyódi,	1
Asztalos Zsolt,	68
Pierre Schrammel,	2
Sárközi Antal,	4
Új stúdiótagok,	2
Bognár Katalin,	2
Kicsiny Balázs képzőművész,	3
Zene: TATLIN	2
Résztvevők: Boros Géza művészettörténész,	2
Evgen Čopi Gorišek,	1
Hera Judit,	2
Szinyova István Gergő,	1
Dobrovits Alexandra,	1
Saban,	2
A FUGA akutális kiállításai	2
Konkoly Gyula,	33
Mariai Gábor (MOME ANIM-Essemble),	2
Dorombal,	2
Tóth Karolina,	1
Borut Krajnc,	2
Watanabe Sei,	1
Pers-Kovács Nóra,	4
Alex Mirutziu	2
Pleidell János,	2
Nemes Z. Márió,	20
Cyryl Polaczek,	3
Jiri Lehovec,	1
Szalay Barbara Mária,	2
Babos Zsili Bertalan,	18
Dr. Fabényi Júlia,	7
Esther Kempf,	2
Művésztanárok	2
Bernard Jennings,	2
Mátyási Péter,	33
Naptár,	2
Sanja Knežević Jovanović ,	2
Tétényi Gabriella,	2
Mónus János,	2
Borbély Szilárd	6
Koronczi Endre,	149
Szabó Eszter Ágnes - Szira Henrietta,	2
BERTÓTHY Ágnes,	2
Mélyi József művészettörténész	29
Jozef JANKOVIC,	2
Máthé László,	2
Liz Nurenberg,	2
Guli Silberstein,	2
CSÖRGŐ Attila,	2
Csurka   Eszter,	1
Szabó Imrefia Béla,	4
Helena Markusková,	2
Damir Rijovic Originalov,	2
Thomas Ruff,	9
dr. Tanács Eszter  a Kalocsai Fegyház és Börtön parancsnoka	2
Csiszár Mátyás	5
FABRICIUS Anna,	6
Lux Antal,	30
turbulensegyüttes	2
KALLÓ ANGÉLA	2
Török Ferenc	1
Seres Szilvia,	12
Szigeti Gábor Csongor,	22
Bán Ildikó,	4
A-W csoportos,	2
Győrffy László és Szöllősi Géza,	2
Edvi Illés Aladár,	2
Modor Viktória l Molnár Ágnes Éva l  Németh Ilona l Oravecz Tímea,	2
Bora Éva Beatrix,	8
Sbarciu Ioan,	2
Perger László Gyula,	4
Koós Gábor,	27
Ingrid Schütz,	2
Ralo Mayer (művész  Bécs),	1
Paweł Eibel,	2
Anu Kippasto  a Magyarországi Észt Intézet igazgatója	2
Evelyn Bergner művészettörténész	2
Pataki Tibor,	12
Kiss Andor Emil,	4
Frank Józsa Anna,	2
Zaid S. Sethi	4
Kendell Geers	2
Tarr Attila,	4
A fényképezés a humorban,	2
Pásztor Péter	2
Nagy András író,	2
Urbán Orsolya,	2
Babinszky Csilla,	30
Zsinka Gabriella  művészettörténész	2
Czeglédy Nina,	4
Kanako Sasaki,	1
az OKM kulturális szakállamtitkára	2
KisPál Szabolcs,	3
FÜLÖP ZOLTÁN,	2
Artus - Goda Gábor,	2
Smiló Dávid,	2
Matteo Camiciotti Farkas,	2
Ile Adrián,	2
Geek,	2
Sergio Belinchón,	3
GOSZTOLA Kitti,	2
Kovács Dávid,	2
F.Farkas tamás,	2
MÓZES Katalin,	2
Timothée Ingen-Housz,	2
Szalai Johanna	2
Gael Bourmaud,	2
Pavel Hayek,	3
Az Nésn galéria programja,	4
Miklos P. Simon,	1
Nemes Z. Márió költő  kritikus	5
koncertet ad: Jan Vojtek - zongora	2
a MÚOSZ Fotóriporterek szakosztályának elnöke és a Magyar Fotóművészek Szövetségének elnökségi tagja,	2
Bertram Jesdinsky,	2
Liván Gábor	1
The Blue Noses (Kék orrok)	2
UCCU Roma Informális Oktatási Alapítvány,	4
Zsóka László,	2
Museo Internazionale delle Ceramiche (I),	2
ANTAL MALVINA,	2
Keleti Éva a Magyar Fotóriporterek Társaságának elnöke	2
Tésy Dániel,	3
Getto Feri	2
Türk Péter	5
Vincze Ottó,	35
Fabian Erika,	2
Joseph Marando,	1
Várady Róbert,	32
Stammler Adrienn,	4
szombathelyi és Vas megyei képzőművészek,	2
rendezés),	1
Bencze Péter,	14
Sebastian Weissenbacher,	12
Barabás Lőrinc,	3
Rónai Péter (SK),	1
Várkonyi György művészettörténész,	4
Kis Judit,	8
Falvai Mátyás	10
Ádám Kálmán,	2
Rutkai Bori és a Specko Jedno,	4
Gallusz,	1
Mona,	3
Sofia Farkas,	2
Jörg Immendorff,	4
Másik János	2
Ágnes,	1
Bogdan Bobrov,	2
Mohácsi András,	3
Zsuzsanna Gilice,	1
feztőművés	1
Szabó Attila,	32
Kiss Tanne Isván,	2
Németh Gábor író	9
Chico Manada	2
Víg Mihály	9
Eva Schlegel	3
KÚTVÖLGYI-SZABÓ Áron,	4
2:00 - DJ Külsőwinchester (aka DJ Lődi)	2
Varkoly László	1
RODRIGUEZ,	2
Hornyik Anna Manna,	2
A Lipcsei Grafikai és Könyvművészeti Főiskola (HGB) 70 hallgatójának kiállítása,	2
TÉZSLA Rebeka Viktória,	2
Johanna Raekallio,	2
Barczi Pál,	4
Keleti Éva retrospektív kiállítása,	2
Szalai Eszter Alexandra,	1
Vylyan pincészet	1
KOÓS GÁBOR,	4
s=eee	2
Karsay Katalin,	1
Kisvarsó,	4
Veronika Hlinicanová (SK),	4
Domokos Mátyás,	1
Maurer Dóra,	126
Jászberényi Sándor,	2
Meder Csilla,	2
Rudas Klári,	2
Nemes Péter	2
Gerendi Anikó,	1
Előadó: Sípos János,	2
Domián Gyula,	18
LIGETI Antal,	2
Dánfalvi Ildikó,	2
a Nemzeti Adatvédelmi és Információszabadság Hatóság elnöke,	1
HECKER PÉTER,	1
Alessandra Miranda,	2
TÓTH Xénia,	2
Stepanovic Tijana	2
BERNÁTH(Y) Sándor,	2
GAUL PÉTER,	2
Zámbó Attila,	2
Kupcsik,	2
Czene Márta,	63
Rajz és Geometria Tanszék	2
Elisabeth Nowak-Thaller,	2
Szabó Péter,	31
Minyó Szert,	10
Fekete - Horváth Erika	2
Csizmadia Tibor,	2
street art művészek,	4
Gyémánt Bálint	2
BORI DÓRA kerámiatervező művész,	1
Azorro Group,	2
Ciprian Muresan,	4
W.-Nemessuri Zoltán	2
BEA ZITA,	2
Szabó Zoltán	1
Szőke Annamária (ELTE Művészettörténeti Intézet)	1
BÁNKI Ákos,	2
Bosch és Fjord,	2
Yuri Veerman	2
Dr. Tóth József	2
Nemes Judit,	3
Molnár Ani Galéria	2
Károly Ferenc  a HKG tulajdonosa	2
festőművész,	16
Frikker Zsolt,	2
Jumana,	3
Manuel F. CONTRERAS,	4
DRABIK Tamás,	2
FANI ZGURO,	1
Kezemura,	2
Kampec Dolores,	2
Farkas Pál,	2
a csillagos házak és Kis Pál fényképész kutatója,	2
Cseh Kulturális Centrum,	1
Kelly Cannon	2
Puskár Krisztián	7
helyettes államtitkár	2
Barcsay Janő,	2
APU	2
Won-gil,	2
_,	12
Nemzetközi építészeti kiállítás,	9
Marosi Ernő a művészettörténet tudomány doktora,	2
TRANKER Kara,	2
Vándornyik Dóra,	2
Andrea del Castagno,	2
Babits Mihály,	2
BORSOS LŐRINC,	13
Kozák Ignác Tibor,	4
Forgács Éva,	4
Baraté Ágnes,	6
Erőss Ágost Koppány,	2
Nyáry Krisztián	3
Jakub Pisek,	2
Abaffy Klára és Müller Rita,	2
Sárkány Győző,	3
MESTER Enikő,	2
Salló István	1
Nagy Ágoston,	6
Tony Franks	1
Halász Géza	2
Szipőcs Krisztina	22
Alföldi György előadása	2
moderátorok: Csoszó Gabriella,	2
Dr Beke László	3
Árki Tibi és barátai	2
Varga Tamás fotográfus,	2
Simonffy Márta a Magyar Képzőművészek és Iparművészek Szövetségének alelnöke	1
Katharina Sieverding,	5
Dékei Kriszta művészettörténész	4
Ütő Gusztáv,	13
Szőke András,	1
Márton László író,	2
a Francia Intézet igazgatója	6
az Európai Bizottság Magyarországi Képviseletének vezetője	2
és a CYST records DJ-k.	1
Csathó Töhötöm,	2
Babra műhely	2
Terék Anna,	4
Ujházy János,	2
Dr.Hegyi Lóránd művészettörténész,	2
Johan Gustavsson (SE),	1
Hans Stofer,	2
Tóth Balázs Máté	8
Estela Torres,	1
Flesch Bálint	1
restaurátor és látványtervező szakos végzős hallgatók	2
Major Rebeka,	1
Wilfried Dechau	2
Ashraf Fawakhry,	2
Bakos Tamás,	15
Zofia Łuczko,	4
Szkárosi Endre,	17
Eva Kot’átková,	2
Vályi P,	2
Lipka Boróka,	2
Birgit Jürgenssen,	3
FABINYI Lili,	2
L Art Open Studios,	2
Barcsay Terem/MKE,	2
CHRISTA KALTENBRUNNER,	2
LIPKOVICS Péter,	6
Litványi János,	2
Linda Lack-INKSAP,	2
Haid Attila,	9
Frank János,	1
Julia Kunin,	4
Lados Mónika,	2
ifj. KOFFÁN Károly,	1
Ponza	2
fülöp-szigeteki fellépők,	1
Szarka Fedor Guido	1
KÖVES ÉVA,	3
szépír	2
Szalay Zoltán Táncsics- és Pulitzer-díjas fotóriporter,	2
Tamar Swartz (CA),	2
Kemény Zoltán	2
Álmássy otilia,	2
RAJNAI Ákos,	5
Maja és Reuben Fowkes (Translocal Institute),	2
Nikolaus Gansterer,	2
Katona Nándor,	2
Ziva AMISHAI-MAISELS  Batya BRUTIN and Avner BAR HAMA,	2
textilművész,	1
Ilse Weber,	2
Klaus Pamminger,	1
Sándor László,	4
Tulisz Hajnalka	6
Hadik András művészettörténész	6
Hü,	1
Petrányi Zsolt a Műcsarnok igazgatója	2
Clare Langan,	2
Fuchs Lívia,	2
Kim Corbisier,	40
Rendhagyó tárlatvezetés Szomjas György filmrendezővel,	1
a Vándorok Könyve című könyve alapján	1
Kelemen Benő Benjámin,	2
Galgóczy Zoltán	4
Kovács Szonja Anna,	2
BALÁZS Anna,	2
Solymosi-Thurzó Vera festőművész,	2
MAKOLDI Gizella,	1
Turcsány Villő	4
Szombathy Bálint képzőművész	2
Vaszary János,	4
Andrea KALINOVÁ,	1
Bauer Eöcsi,	2
Sőrés Zsolt és a Budapest Photography Review programja,	2
Papp Szilvia,	2
Vígh Tamás,	2
Tabiti Tűztánc Kollektíva,	2
Szőcs Géza	4
Léa Lascaud	2
Stefan Osnowski	2
Sean shanahan,	2
Dr. Reuben Fowkes,	2
Kovács Gábor,	3
Veszprémi Sári	2
Kármán Balázs - Novák László,	2
Tenk László festőművész,	1
Ladislav Postupa,	4
Laborc Zsofia,	2
Lisa Simon,	1
Ana Laura Lopes de la Torre,	2
Palatin Gergely,	1
Barsiné Pataky Etelka,	2
az ELTE Japán Tanszékének vezetője	1
Szűcs Péter (klarinét	1
Jiseon Yoon,	2
Tóth Roland,	2
Farkas Zoltán,	2
Khoór Lilla/Anna Artaker,	2
Szurcsik József Munkácsy-díjas képzőművész,	2
dr. Sinóros Szabó Katalin művészettörténész	1
Márkus Péter,	9
HÁTH NÓRA,	2
Philippe Brame	2
Korányi Mátyás,	2
Blaskó János művei,	2
Smid Róbert,	3
VADAS József	2
BÉNYI László,	2
Filp Csaba,	13
What,	1
június 1-6.,	2
Ivan Mecl,	1
Bodrogi Éva,	8
Bácsi Barnabás,	6
Az egri Eszterházy Főiskola Vizuális Művészeti Tanszékének hallgatói,	2
kurátor asszisztens: Döme Gábor,	1
Pawel Romanczuk	2
Simonetta Ferfoglia,	4
Tolnai Ottó,	3
KOVÁCS Lehel,	9
Ménesi Luca	6
Csordás Zoltán képzőművész,	3
Labus Máté (zene)	2
Okwui Enwezor	1
Fayçal Baghriche,	4
Julie Zando,	1
Lilla Földy-Molnár,	1
Ekler Dezső,	4
Kiss-Kunter Árpád,	2
Majoros Lili,	2
Bráda Tibor,	7
Vörös István költő	4
GÉMES PÉTER,	2
Hamarits Zsolt,	4
JENEI BARNA MÁRTON,	2
Indiai táncok: Demény Bea,	2
Szentirmai Tamás építész	1
Balogh Andrea,	2
JOZEF TIHANYI,	2
Partick Urwyler	2
Szenes Zsuzsa,	4
HUBERT SIELECKI,	2
Rasa Vesali,	2
Veer Munshi,	2
Török Tamás,	114
M.P.S. mosogat	1
érdemes művész	1
Sugár Gyula (1921-1991),	2
Sparing Stefánia,	4
Schuller Judit Flóra (Helsinki-Vantaa)	2
FUKUI ATSUSHI,	2
Város központ nélkül,	1
Eperjesi Ágnes – Várnagy Tibor,	2
Benkő Zsuzsanna	2
Grászli Bernadett	4
Lelkes A. Gergely	2
Németh Tamás,	11
operatőr	4
Andreas FOGARASI képzőművész	2
Idan NELKENBAUM,	2
György Péter,	17
a Budapesti Román Kulturális Intézet igazgatója,	2
Tibetért,	2
Avi Mograbi [IL],	2
Pohárnok Gergely,	2
Nagy-Tószegi Bálint,	2
Kerekasztal-beszélgetés Mikolás Tibor építész emlékkiállítása kapcsán	2
Dr. Szoboszlai János	2
Vízer Dániel jazzénekes	2
Katona Réka,	2
Ferenczyné Saás Kinga,	2
János Szurcsik,	2
Darvas István	1
-Hudra Klára művészettörténész	2
MOLNÁR ÁGNES ÉVA,	3
A Moholy-Nagy Művészeti Egyetem Média Intézetének kiállítása	1
Papageorgiu Andrea,	17
Gink Judit,	2
Barcza Dániel,	2
BAK Imre | BAKSAI József | BIRKÁS Ákos | BUKTA Imre | CSONTÓ Lajos | DECHANDT Antal | DELI Ágnes | EL HASSAN Róza | EL KAZOVSZKIJ | EPERJESI Ágnes | FÁBIÁN Noémi | FEHÉR László | HALÁSZ Károly | HENCZE Tamás | JOVÁNOVICS György | KÁROLYI Zsigmond | KASZÁS,	2
Jenei Barna Márton	1
Beöthy-Steiner Anna,	2
Wéber Kristóf,	1
Tóth Evelin énekesnő	2
Galántai Zoltán PhD jövőkutató  író	2
Ráskai Szabol,	2
Junghaus Tímea (művészettörténész),	2
Carla Kogelman,	1
Kalo Emese,	2
brácsán játszik: Ellina Khachaturyan	2
Matei Caltia,	2
MÁTRAI Erik,	1
Maria Hlavajova,	2
Marosi Miklós építész	1
Sever Moldovan,	2
Dr. Bereczky Loránd - művészettörténész,	2
JAO Chia-En,	2
Dr. Kriza Ákos Miskolc polgármestere	2
Acapella Kórus,	2
Szuhay Péter kultúrantropológus,	2
Hegedűs Eszter	2
Prell Norbert,	2
Denise Green,	1
Besenyei Zsuzsanna,	4
SZÁSZ György szobrászművész	2
az MTA Művészettörténeti Kutatóintézetének igazgatója	2
Nikita Kadan,	4
Paula Muhr,	2
Ján ©ipöcz (SK),	2
Paul Klee,	1
EKE VMI intézetigazgató,	2
Alidermes: Bruno Cassaglia & Alessandra Cevasco – SAVONA,	2
Adina-Baron (Izrael),	2
Korcsmáros Péter,	1
Mészáros Márta	2
Verebes Ernő	2
Görözdi Lilla,	2
Döme Gábor,	6
Full Kolor,	2
Váczi Dániel,	6
Hollós Ádám	4
MMAT elnök,	2
Kegytárgyas Feri	3
