	8
Arnaldo Dante Marianacci,	4
A. Gergely András antropológus	2
Reshat AMETI,	2
James Prosek,	4
Márton Enikő,	14
Lejárat a Murányiból,	1
Formatervezés és Kultúra Tanszék	2
Kis Tóth Ferenc	1
Kerekasztal-beszélgetés a roma kortárs művészet szerepéről és megjelenési formáiról,	2
Agnieszka Polska	2
Nyerges Gábor Ádám,	2
Fábián Péter	2
Batta Barnabás	2
Albrecht Zsófia	2
Gyarmati Zsolt	2
Erlich Gábor,	16
Andreas Berde	2
Szabó Anna,	2
Varga-Lelkes Annamária,	4
Karolina Lizurej,	2
művészeti aktivista és mecénás,	1
Pálfalusi Attila Viktor,	2
Vidra Réka	3
Johan Nieuwenhuise,	2
Capa in Color	9
Agnes Rodier (Rodier Ágnes),	1
Elektro Moon Vision,	2
a kötet szerzője,	2
Szuhay Péter (antropológus,	2
x,	2
Sipos Barbara,	10
NEOGRADY-KISS Barnabás,	2
Kálmán László	2
Tia Čiček	1
NÓGRÁDI István,	2
Barta Éva,	2
Adamik Lajos,	1
Érmezei Lili Zoé,	8
Szigeti Szilvia textiltervező iparművész,	2
Európa Kiadó,	2
Tóth György,	14
György Péter esztéta,	2
Szabad Művészek,	4
Györe Zoltán,	11
Az ELTE BTK Művészetelméleti és Médiakutatási Intézetének kihelyezett előadása	4
Taysir,	3
Takács Lívia,	2
Sarah Günther,	2
Bocskor Bíborka	1
Plank Antal,	4
Fatis Alexandra,	2
Vasarely,	4
Małgorzata Takács	2
Tapasztalt Ecsetek,	2
Papp Pala László  ▪ Barti Magdolna,	2
Hatházi László,	12
Andreas FOGARASI,	2
Krasztev Péter,	2
Daniel Turner,	2
Pittmann Zsófi és Marci,	2
R Farkas,	2
Simonffy Márta	2
Simon Mariann	2
Pfisztner Gábor műkritikus	2
drMáriás,	42
Tőzsér Árpád	2
Partum,	1
Anna Monika Kozbiel,	1
Szamosi László,	2
Zoltai Attila	2
Ovidiu Pop,	2
Cseke Sz.,	2
Műhelybeszélgetés	1
Ferencz S. Apor,	11
BÁCS EMESE,	1
Pécsi Bertalan,	2
dr Feledy Balázs MS Mester-díjas művészeti író	2
Magmart | video under volcano,	2
Nagyon Boldog Nagyboldog Kórus (müvészeti vezetö: ifj. Fazakas Pálma)	1
Comité de Réservation	2
Bohus Áron,	4
Molnár Farkas-díj 2011 díjátadó,	2
Hemrik László	22
Récsey Manyi Eszter,	2
Kicsiny Balázs DLA képzőművész,	1
ELTE SEK Vizuális Művészeti Tanszék hallgatóinak kiállítása,	2
Király Márton,	2
Meggyes László Vendel festőművész,	2
Michael Powell: Piros cipellők	1
Noriaki Hayashi,	1
Drabik Tamás,	5
Bojár Iván András,	14
Gaál Júlia,	2
az MMA Képzőművész,	2
Konkoly-Thege György	2
Juhász Katalin,	2
Forgács Péter,	54
Mikus Áron,	2
Tollas Erik,	11
Helyes Daniel,	2
Klima Gábor,	27
Babarczy Eszter	11
Jusuf Hadžifejzović,	2
Győri László újságíró,	2
Oswin Hochstöger,	2
Reviczky Zsolt fotóriporter	2
Magén István,	9
Kútvölgyi Léna,	8
és még sokan mások	8
Sakshi Gupta,	2
ZVOLSZKY Zita	1
Oli Mayne	2
Részegh Botond (Románia),	2
SZAXON Szász János,	2
Kemény Zsuzsi,	2
Csoportos,	4
ERLICH Gábor,	2
Gutai Mátyással Balázs Mihály építész beszélget	2
SZOMBAT Éva,	1
Gyermán Petra,	2
KULINYI ISTVÁN vizuális művész	1
Bozóki András,	2
Bóna Ottó,	6
Lux Antal D,	4
Eleni Tsakopoulos Kounalakis  az USA nagykövete	1
Pecek Lakatos András,	2
Mihályi Barbara (hallgató,	2
VAJDA LAJOS	2
Katarina ©evic,	2
BRÜCKNER Janos,	2
Wojciech Kosma	2
Nemes Csaba képzőművész	2
Czigány Tamás,	2
IVAN LADISLAV GALETA,	2
Domokos Ágnes,	1
DJ Curtis,	2
dr. Bökönyi István	1
VARGA Tünde	1
ERDÉLYI Mór,	2
Gopcsa Katalin,	4
Justyna Smolen,	3
Mayer Éva,	40
Rófusz Ferenc	2
RAGÓ Bence,	4
METALGUITARDES wall paint,	2
Losonczy István,	30
Janis Jefferies & Tim Blackwell (GB),	2
Gróf Ferenc	12
Bryan Ray Turcotte,	2
kArton Galéria,	2
Rohonyi Iván,	2
Szilveszter Klára,	2
Piergiorgo Zangara	2
Gerhes-Roskó	2
Frazon Zsófia,	26
DEMETER ZSUZSA,	1
Munkácsy-díjás festőművés	2
Laura Bruce,	2
Knaust Dániel  hegedü és brácsaművész	2
Kéri László,	4
Gyergyószárhegy,	2
a MTA KFKI RMKI tudományos tanácsadója	2
Sugár Péter,	8
Szigeti Tamás,	21
Jász Attila költő	5
Bodóczky István	4
Balog Krisztián,	2
Révész Anna,	4
Sloow Coyote,	2
CHILF MÁRIA,	2
Robert Bresson,	2
Fodor Tamás	4
Simon Ádám,	1
Wolfgang Meissner,	2
Diósi Máté,	4
Patryk Mogilnicki,	1
Wes Bell,	2
multimédia-szerkesztő,	2
©mídová Horváth Klára,	2
Budapest Art Factory,	2
Saxon Szász János,	11
Jeff Koons,	2
Szu Hszin-ping  (Su Xinping),	2
Kerekes Gábor MATINÉ NAPOK	1
Anna Altomare Roselli,	2
Kis-Tóth Zalán,	18
A Magyar Képzőművészeti Egyetem Intermédia szakjának egykori és mostani hallgatói,	2
a Horvát Köztársaság budapesti nagykövete,	2
dr. Baksa-Soós Veronika,	2
Bartha László (1908 - 1998),	2
Pittmann Zsófi,	14
Kroó Anita,	23
Major Balázs	2
Claus Löser,	2
Michael Post,	2
Tatai Erzsebet	1
Peter Varnai,	2
Runo Lagomarsino,	4
Forián Szabó Noémi	4
A MAGYAR KÉPZŐMŰVÉSZETI EGYETEM KÉPZŐMŰVÉSZET-ELMÉLET ALAPSZAKÁNAK MÁSODIK ÉVFOLYAMOS HALLGATÓI,	1
Eduard Freudmann és Ivana Marjanoviæ (Belgrád/Bécs),	2
Marvin Gaye,	1
FÁBER-KOVÁCS Krisztián,	2
Novotny,	2
NEM,	2
SZENTJÓBY Tamás,	7
Chochol Károly,	6
Tacumura Koho,	1
.	36
Kiss Bence Ádám,	2
Diana Marincu	2
Bikácsi Daniela,	18
Dér András rendező	2
Máriás Béla	4
Boritás Wiktor Iwan,	2
Jelenkori gyűjtemény	2
Khalil Abou Hadid	1
Eva Pelechova,	2
GÉCZI János,	2
Vladimir Us / Oberliht,	1
Masto,	4
A III. CROSSTALK VIDEO ART FESTIVAL  2010,	2
Vera Vera,	2
KÖRÖSÉNYI TAMÁS,	5
Nagy Éva (1921-2003),	1
Oláh Vilmos (hegedű)	2
Százados László,	19
Orsos László Jakab,	2
Szörényi Beatrix,	51
Antal István,	32
HARDI Ágnes,	2
Federico Botto,	2
Csenkey Éva	2
Martos Gábor	10
Oltvölgyi Tamás,	2
Provaznik Ariel,	4
Fanni Futterknecht,	2
Bizzer István,	1
Vikár P. István grafikusművész	1
Francia Intézet,	2
SZARVÁK Antal •• SZIKSZ Eszter USA •• TOOTH Gábor Andor TGA •• UJVÁRI Gábor •• URBÁN Tibor–FLASKÓ Attila •• VASS Tibor •• VATI Era •• VÉGVÁRI Beatrix •• WHANDAL Syporca •• WROBEL Péter,	2
Rékassy Csaba,	4
Réti Iringó,	1
Vanyúr istván,	2
Janek Zamoyski,	2
Ilauszky Tamás	2
Baki Juli,	2
Simon B. Krisztián,	2
