	step0	frequency_original
631	Palik Eszter,	2
632	Tomo Sevic-Gecan,	2
633	Axel Braun,	4
634	Csiky Tibor,	15
635	A megnyitón a kiállító művészek vidám zenés tárlatvezetést tartanak!	2
636	Martijn van den Bosch,	1
637	Vécsi Nagy Zoltán	7
638	Gajzágó Donáta,	17
639	Iida Kazuna,	1
640	Witold Romer,	2
641	Ablonczy Balázs	1
642	Oldrich Hamera,	2
643	az Octogon főszerkesztője részvételével	1
644	Cseke Csilla,	2
645	Aneta Szylak,	3
646	Művek a székesfehérvári Szent István Király Múzeum gyűjteményéből,	2
647	Dr. habil  DLA Kőnig Frigyes,	2
648	Hullár Johanna,	1
649	Tillman J.A.	2
650	Berkeczi István,	2
651	FERENCZI János,	4
652	Dr. H.C. Plesz Antal Széchenyi és Ybl-díjas építész,	2
653	Kedves Csanád,	7
654	SZABÓ Klára Petra,	6
655	Damir Pavic,	2
656	M. Páll Zoltán,	4
657	KÁROLY ESZTER,	1
658	Rumi Rózsa,	6
659	Várnai Gyula,	83
660	Popovics Lőrinc,	1
661	Sarah Dobai,	2
662	Moizer Zsuzsa,	39
663	Herczku András,	2
664	A BKF képgrafika szakának diplomakiállítása	2
665	Charles Lansiaux,	2
666	Horányi Attila és Timár Katalin	2
667	Perlaki Márton,	2
668	LANTOS Ferenc,	4
669	Chimera-Project,	8
670	David BENFORADO,	2
671	Domenico Lucchini	2
672	Grafikusművészek,	2
673	a Doktori Iskola hallgatói	2
674	Pályi Zsófia	4
675	Lakner,	1
676	beszélgetések és fesztiválhangulat a Stúdió Galériában,	2
677	Anna Monika Kozbiel,	1
678	Antimédia,	2
679	Verena Rempel,	4
680	Válogatás a Magyar Fotográfiai Múzem kincseiből,	2
681	Germain Viatte,	2
682	Paulina Buzniak,	1
683	Emese Benkő,	2
684	Csoszo Gabriella - Podmaniczky Szilard,	2
685	Felméri Péter,	4
686	Elske Neus,	1
687	Király Gergő,	2
688	Varga-Lelkes Annamária,	4
689	Laura Mudde	2
690	Jang Csin-szung (Yang Jinsong),	2
691	Vékony Dorottya (Helsinki-Vantaa),	2
692	Béli Balázs,	4
693	Gulyás Kati,	2
694	Derek  Michael Besant,	2
695	OFF	1
696	Varga Zsolt,	25
697	Móga Piroska,	1
698	Jan Brož,	3
699	Inspire,	1
700	Földiné Irtl Melinda,	2
701	DANZIGER Dániel    HENDZSEL Ilona    HERBSZT László    KÁNVÁSI Krisztián    MAROSI Károly    RIDOVICS András    ROTH Péter    Lidija SKENDEROVIC    SZÉP Hedvig      KOVÁCS Zoltán    Noémi Regina CSERGÔ    NAGY Gergő    KERESZTÚRI Kata    NAGY Júlia    ORB,	2
702	Bosch+Bosch csoport	2
703	Étienne Sved (1914-1996) fotografikus,	1
704	Bajkó Dá­ni­el,	2
705	Szirmai Norbert / Révész János,	2
706	Bánki Gergely,	2
707	Ruttkay Sándor,	7
708	Almagul Menlibayeva,	2
709	Rieder Gábor művészettörténész  a Flash Art főszerkesztője	4
710	Cornel Prahovean,	2
711	építész. Közreműködik: Riz Laura,	4
712	Kluger Zoltán	2
713	Temesi Apol,	1
714	Bullás József	9
715	BORDOS László Zsolt–ERDÉLY Dániel,	1
716	Majoros Gyula-Samira Sinai,	2
717	John K. Gran­de	2
718	Kupcsik Adrián	1
719	A Kárpát-medencében élő és dolgozó képzőművészek	2
720	NIKMOND BEÁTA,	1
721	Katya Sander,	2
722	Ilya Kabakov,	3
723	Piergiorgio ZANGARA (I)	2
724	Áfrány Gábor,	13
725	Szabó Lajos,	4
726	SCHUMANN Bianka,	7
727	Anna Alm  Finnország,	2
728	Paál Csaba,	2
729	Kárpáti Dódi	2
730	Galbovy Attila-Péli Barna,	2
731	Frech,	2
732	Fodor Péter,	2
733	Andrej HLOBISZTYIN,	2
734	Bódi Kinga	8
735	Milasovszky László,	3
736	Edvi Illés Aladár,	2
737	Alexander Kalachev,	2
738	TORNYAINÉ DÓRY Zsuzsa	2
739	Laura Isoniemi,	4
740	ica-kru,	1
741	Fülöp Zsolt,	2
742	Kocsis András Sándor,	2
743	21h 30 ELECTROPERA és#8211; Premier,	2
744	Finnország magyarországi nagykövete,	2
745	Jasna Jernejšek,	2
746	CSISZÉR Zsuzsi,	6
747	KISS Adrián,	1
748	Ilauszky Tamás	2
749	Onejoon Che,	1
750	Simon Starling,	2
751	OSGYÁN Gergő,	2
752	Szabó András	2
753	A Szimpóziumról és a művekről a résztvevő művészek beszélnek.	2
754	Finger Group,	2
755	Dr. Waleed Bunni	1
756	Marko Tadič,	2
757	Saša Nabergoj,	2
758	Mészáros Márta,	4
759	BARTA Zsolt Péter,	2
760	A Lipcsei Grafikai és Könyvművészeti Főiskola (HGB) 70 hallgatójának kiállítása,	2
761	Kozma Vera	1
762	művészeti aktivista és mecénás,	1
763	Sergio Muñoz Sarmiento,	2
764	Ujj Zsuzsi,	14
765	SUPERNOVA,	2
766	KOVÁTS ALBERT,	2
767	Szabó Ildikó,	2
768	Ludwig Ambrus,	3
769	Maywa Denki,	2
770	Eplényi Anna,	4
771	Szilágyi Rudolf	20
772	Simonffy Szilvia művészettörténész	2
773	Anna Konik (Pl),	3
774	Pittmann Zsófi és Marci,	2
775	Tripoteca Psychedelic Film & Art Festival,	2
776	Balogh Rudolf (1879-1944),	1
777	Virág Ágnes,	2
778	Miklos P. Simon,	1
779	Dr. Puskás Tivedar  Szombathely Megyei Jogú Város polgármestere,	2
780	Szekeres Alexandra,	4
781	Martin Guttmann képzőművész,	2
782	Pálinkás Szilvia,	2
783	STUDIO NOMAD,	1
784	Bánkuti András,	18
785	VARGA Viktór,	2
786	FÜRINÉ BABITS ÁGNES,	2
787	Block-csoport,	3
788	Marc Le Mené,	6
789	TNPU (A Telekommunikáció Nemzetközi Paralel Uniója) - LORRENSY Júlia - FEHÉR Márta,	2
790	Klára Hosnedlová,	2
791	Jonathan Olley,	2
792	Mateusz Dabrowski,	2
793	Binelde Hyrcan,	3
794	KÓNYA Béla,	2
795	Marian Dörk,	2
796	Kulcsár Ágnes,	2
797	Anne De Vri,	1
798	Roger Bernat,	1
799	Hajdu István műkritikus	6
800	Novotny Tihamér művészeti író	9
801	Somogyi Emese,	3
802	Dr. Szkárosi Endre	2
803	Schiffer Pál,	2
804	Mélyi József	111
805	Smohay András,	1
806	Brücke Zwei - Felsmann István,	2
807	Hortense le Calvez (F),	2
808	Sebastian Bożek,	2
809	Szalmás Piroska,	2
810	Vera Nimova,	4
811	Skultéti Ilona,	2
