	step0	frequency_original
11877	Singer Magdolna,	2
11878	Gyárfás Péter gyűjtő	2
11879	Szabó Gyula,	2
11880	Bruckner Janos,	2
11881	Daniel Alcalá,	3
11882	LITTLE WARSAW,	8
11883	Waliczky Tamás	4
11884	Alexandru Dan,	2
11885	Gabay Gergely,	1
11886	GALLOV Péter,	5
11887	FINTOR Gréta Vivien,	2
11888	Andre L. Silva dos Santos,	2
11889	Fajgerné Dudás Andrea Júlia	8
11890	Sztrányay Monika,	1
11891	ZATAR Osama,	2
11892	Csellón közreműködik: Richter Dorottya,	2
11893	SOÓS KÁROLY,	1
11894	Krusovszky Dénes,	2
11895	Karolina Freino,	2
11896	Vojnits-Purcsár Vító	2
11897	KOLOS-VARY Zsigmond,	2
11898	Ester Hagenmaier,	2
11899	Kukorelly Endre író	2
11900	Sandro Miller: MALKOVICH MALKOVICH MALKOVICH	4
11901	Steiner Gyula,	1
11902	Jari Alakoskela & Sami Heikkilä,	2
11903	Szigeti Árpi,	2
11904	Béli Ádám,	1
11905	"Menyhárt Tamás ""Menyus"","	8
11906	Alexander Tinei,	13
11907	Bánkuti András fotóriporter,	2
11908	Udvarhelyi Zsuzsanna,	4
11909	Füredi Zoltán,	2
11910	SZÉCSI Noémi,	2
11911	UK/GR - Candida Pestana,	2
11912	John Wood,	3
11913	Trio Beeper	2
11914	Julien Berthier,	4
11915	Karsai Gábor	2
11916	Jürgen Ramacher és Gálig Zoltán,	2
11917	XX. Esztergomi Fotográfiai Biennále,	2
11918	Anna Zvyagintseva / HudRada	1
11919	Kerekasztal beszélgetések	2
11920	dr. Szalay-Bobrovniczky Alexandra,	2
11921	Jan Jongert	2
11922	Pfisztner Gábor esztéta,	1
11923	Lengyel András,	45
11924	Csernik Attila,	4
11925	Schéner Mihály festőművész kiállítása	2
11926	Medgyessy S. Antal,	1
11927	Menesi Attila - Christoph Rauch (D)	1
11928	Tia Čiček	1
11929	Dr. Beke László művészettörténész,	2
11930	Az egri Eszterházy Főiskola Vizuális Művészeti Tanszékének hallgatói,	2
11931	Zemira Alajbegovic és Neven Korda,	2
11932	Magdalena Abakanowicz,	2
11933	Mathias Windelberg,	2
11934	HORVÁTH Ágnes,	2
11935	Christian Reder és Simonetta Ferfoglia	2
11936	Romhány Gergely	2
11937	Ivor Stodolsky,	1
11938	Boros Mátyás képzőművész,	2
11939	Jackline Donachie,	2
11940	Baditz Gyula szobrászművész,	1
11941	Donka Panna,	2
11942	AES+F,	14
11943	Garami Gréta művészettörténész,	4
11944	az OKM kulturális szakállamtitkára	2
11945	operatőr	4
11946	Andreas MÜLLER-POHLE	2
11947	OROSZ Helga,	2
11948	kováts borbála,	2
11949	Szkripka-Jávorszky Anasztázia,	2
11950	Lukácsi Andrea,	4
11951	a párizsi Musée National d’art moderne,	2
11952	Kidlinger Péter,	2
11953	KESERUE Zsolt,	2
11954	Małgorzata Takács	2
11955	Donata Hillger /D/,	2
11956	Karmó Zoltán	9
11957	Békési Ervin	3
11958	Davorin Marc	3
11959	Közreműködik: Karosi Júlia ének,	2
11960	Csizek Gabriella	17
11961	Oiva Toikka,	1
11962	ZÖLD ANIKÓ,	2
11963	Huszár Kata l Ipsics Barbara l Katarina ©eviæ l Keller Diána,	2
11964	Murádin Jenő	2
11965	EfZámbó HDB,	2
11966	Glassbox,	2
11967	a Kegyeleti Múzeum- Temetkezési és kegyeleti szakgyűjtemény vezetője	2
11968	építészek,	3
11969	Várady Róbert,	32
11970	BOLDI,	6
11971	az FKSE portfoliói,	2
11972	Mono Grinbaum előadása	2
11973	Yuri Veerman	2
11974	Janáky István	2
11975	a Kéz | Mű | Remek. Népművészet. Nemzeti Szalon 2018 c. kiállításon	3
11976	Bakos István tervezőgrafikus,	2
11977	Michael Post,	2
11978	HORKAY István m.v.,	2
11979	Gráf Dóra,	3
11980	Surnovszky Panna,	3
11981	Palmovka (CZ),	2
11982	illusztrátor	2
11983	"Kesselyák Gergely - a ""Bartók +"" Miskolci Operafesztivál ügyvezetője"	2
11984	Papp Tibor iró,	2
11985	Gémes Dávid,	2
11986	Perness Norbert,	1
11987	Vasarely,	4
11988	Petőcz György	2
11989	Csaplár Vilmos,	2
11990	Dominik Lang,	4
11991	Marton László	2
11992	Király Eszter,	2
11993	Vékony Fanni,	8
11994	Ben Muthofer,	2
11995	Fabényi Julia	9
11996	Jacek Ambrożewski,	1
11997	Kárpáthegyi István (HU),	2
11998	Greta Samuel,	1
11999	Orosz Bence,	2
12000	Oláh Vilmos (hegedű)	2
12001	Barta Edit  kritikus	1
12002	Hozzászól: Oltai Kata	1
12003	***,	2
12004	Kemenes Tamás,	2
12005	a festő,	2
12006	Ilona Keserű Ilona-kossuth díjas festőművész,	1
12007	Oliver RESSLER / Zanny BEGG,	2
12008	Ottó László,	9
12009	Rachel Lee Hovnanian (USA),	2
12010	Otto László,	1
12011	Gróf Ferenc (HU),	2
12012	Reinhold Bidner,	2
12013	Andrej Budescu,	2
12014	Bódi Kinga művészettörténész	2
12015	Nasui Private Collection and Gallery,	2
12016	Herczeg Fanni,	2
12017	CANZI Ágost,	2
12018	DJ Ken,	2
12019	Kika Wikman,	2
12020	Szabó Judit Erzsébet,	6
12021	KOZÁK Csaba	4
12022	Pál Dániel,	4
12023	SWIERKIWICZ Róbert m.v.,	2
12024	Rubik Ernő	4
12025	Ferenczy Béni	3
12026	Sean Snyder,	2
12027	Bognár Attila	2
12028	dj Reza,	2
12029	Károlyi András,	2
12030	Krausz Dániel Csaba,	2
12031	Re­zso­nya Ka­talin,	2
12032	Deák Botond  költő	2
12033	Tanya Harnett,	2
12034	Kaliczka Gabriella,	2
12035	KIRÁLY Gábor,	5
12036	Tranker Kata,	43
12037	Josef Capek,	2
12038	LÁNG Eszter,	4
12039	FELUGOSSY László,	3
12040	Adam Michnik	2
12041	Tillmann Adél Hanna,	2
12042	Alain Fourgeaux kulturális attasé,	2
12043	az OSZK Színháztörténeti Tárának vezetője	2
12044	Dorota Buczkowska,	1
12045	Bodonyi Emőke művészettörténész	3
12046	Szász György	13
12047	Kurdy-Fehér János,	2
12048	Miodrag Milicev,	2
12049	Elina Brotherus,	4
12050	Klein Rudolf,	5
12051	Filippo Zambon,	2
12052	Carlo MAGLITTO,	1
12053	groza.design,	2
12054	Sebők Eszter	2
12055	Dr. Keserü Katalin	2
12056	BÁLINT Endre,	2
12057	Németh Anna,	2
12058	Kónya Ferenc Barcsay Jenő szerzői jogörököse,	2
12059	Georg Krause,	4
12060	Walter Ebenhofer,	2
12061	DEZKA,	2
12062	Erőss István  tanszékvezető	2
12063	M. Tóth Éva témavezető,	2
12064	Csorba Simon,	10
12065	Bernd Kirschner,	1
12066	Onur Senturk (TR),	2
12067	Tót Endre,	32
12068	Rátóti Zoltán	2
12069	Kalácska Mária,	1
12070	Hadházi Balázs,	2
12071	Gulyás Benedek,	2
12072	SÁRKÖZI Péter,	2
12073	Heisler Zsófia,	2
12074	Maják Viktor	2
12075	Stefan Constantinescu,	4
12076	Dvorcsák Gábor,	1
12077	Jerovetz György,	2
12078	Lotte Geeven,	4
12079	Hosszúlépés	2
12080	Erdőháti Melinda	2
12081	Eija-Liisa Ahtila,	4
12082	Építészeti kiállítás,	2
12083	Kádár Kata,	2
12084	lelkész,	4
12085	Koscsó László,	16
12086	irodalomtörténész,	2
12087	Rael ARTEL	2
12088	Petőcz András költő,	2
12089	Peter Baum,	2
12090	Köszöntőt mond: Illyés Miklós önkormányzati képviselő  a Humán Ügyek Bizottságának elnöke,	1
12091	Mono Galéria,	4
12092	MARIA  RAJMON,	2
12093	Bujdosó Attila,	2
12094	Révész László László,	42
12095	Pap Ferenc,	1
12096	Oláh Orsolya,	12
12097	Rumen Dimitrov,	2
12098	STRASSZ (Bogyó Virág,	2
12099	Compagnie Pál Frenák	4
12100	Egely Katalin,	2
12101	Lőrinc Lilla,	10
12102	Kiss Mónika	1
12103	Lisa Chang Lee,	2
12104	FINNISH DESIGN,	1
12105	Závodszky Ferenc,	2
12106	Kabai Márton,	2
12107	Szabó István	2
12108	Mészáros György,	1
12109	Farkas Flóra,	2
12110	Varga Zsófi,	2
12111	Hegedűs Anikó  művészettörténész,	2
12112	Kisfaludy András	1
12113	Eln Ferenc	2
12114	Lois Renner,	3
12115	Gerlóczy Márton,	2
12116	BÍRÓ Roland,	2
12117	Szabó Imola Julianna	2
12118	Céline Saraiva,	2
12119	Rosta József,	8
12120	Gábor Tamás / Indiana,	2
12121	Karhut Tamás (dob),	2
12122	Farkas Ádám szobrászművész,	1
12123	Dezső Csaba	1
12124	A szentpétervári Repin Intézet Szobrász Tanszéke,	1
12125	Kincses Károly fotómuzeológus,	2
12126	Krizbainé Szabó Éva,	4
12127	Molnár Éva,	3
12128	Piotr Kmita,	2
12129	Útvonal,	2
12130	Csepregi Noémi,	2
12131	budapesti és berlini művészek,	1
12132	aki szeretnek fényképezni,	2
12133	KRAJCSOVICS Éva,	2
12134	megbízott docens,	2
12135	Pálinkás Bence György,	35
12136	Juhani Koivumäki,	2
12137	Zombola Péter,	1
12138	FARKAS Dénes,	1
12139	Sarmen Beglarian,	2
12140	Fabrícius Anna,	2
12141	Magyar Képzőművészeti Egyetem Intermédia Tanszék / Intermedia Department of the Hungarian Academy of Fine Arts	2
12142	magyar designerek és képzőművészek,	2
12143	Őexc. Domingo Cullen	4
12144	kishonthy zsolt/jurecskó lászló,	1
12145	Művészet és tudomány,	2
12146	Krétaguy,	2
12147	Lynn Kasztanovics,	2
12148	Szatmári Gergely	2
12149	Tsuyoshi Anzai,	4
12150	Valcz Péter	1
12151	Téreltérítés	1
12152	Rozovics Éva,	1
12153	Matteo Massagrande,	2
12154	Györe Borbála,	2
12155	Myriam Laplante (Olaszország),	2
12156	Stefano Calligaro,	2
12157	Ponza + meglepetés vendégek	2
12158	Kovács Dóra Mirtill,	2
12159	Marcin Kedzierski + Sándor Krisztián,	2
12160	Lorányi Judit	1
12161	Tölg Molnár Zoltán festomuvész,	1
12162	Judit Kurtág,	7
12163	Louis Henderson,	6
12164	Kopeczky Róna	29
12165	Jederán György,	9
12166	Sander Veenhof,	2
12167	Kürti Emese	16
12168	A Néprajzi Múzeum utazó tanulmányi kiállítása,	2
12169	Szemadám György festőművész,	2
12170	SZAF (Fischer Judit  Mécs Miklós),	2
12171	Első titkár,	3
12172	Kis Veronika Edit,	2
12173	Sebő Ferenc,	6
12174	Dénes Á. D. - Navratil J.,	2
12175	Magdalena Moskwa,	1
12176	Richard Ibghy & Marilou Lemmens,	2
12177	Szacsvai István,	1
12178	Gábor Éva Mária,	16
12179	KALLÓ ANGÉLA	2
12180	Kréher Péter	2
12181	Hegyeshalmi László	4
12182	Csontos László szobrászművész,	2
12183	Papp Sándor Dávid,	11
12184	Szász Lilla,	50
12185	Két napos szimpózium Budapesten és Pozsonyban,	4
12186	Fotózás és aktivizmus tanfolyam résztvevői: Balogh Dina,	2
12187	Harmath Artemisz	2
12188	Bánáti Bodó,	1
12189	Fehérvári Zoltán művészettörténész	2
12190	Pintér Sonja	6
12191	Salvador Dalí	2
12192	Krenner István,	2
12193	Lossonczy Tamás,	16
12194	Kővágó Nagy Imre,	1
12195	Pataki János festőművész	2
12196	Capa in Color	9
12197	Eduardo Guerra (Portugália)	2
12198	rechnitzer zsófi,	2
12199	Ned Smyth,	2
12200	Ayoung Kim (KO),	2
12201	Szigeti G. Csongor,	18
12202	hegedűn játszik Gazda Bence	2
12203	Somogyi Krisztina,	2
12204	Bengi László	2
12205	Kristina Norman és Jan Elantkowski beszélgetése	2
12206	Maria Buil,	1
12207	San Francisco	2
12208	Bruno Maximus,	1
12209	Bösztöri Petra,	2
12210	Dvorszky Hedvig,	1
12211	Mimmo Roselli,	3
12212	beszélgetés Lendvai Ádámmal és Mélyi Józseffel,	1
12213	Peter WEIBEL,	4
12214	Keserue Zsolt	9
12215	Janez JANŠA (SL),	2
12216	Juhász Annna,	10
12217	Formatervezési és Építészeti Kar,	2
12218	Szigetvári Andrea	1
12219	Bernát Barbara,	4
12220	Siklósi Alexa,	2
12221	Fülöp Ildikó,	2
12222	Szécsényi-Nagy Lóránd,	3
12223	Vadas Zsófia Tamara,	5
12224	Schlauszky Szilárd,	1
12225	Csécsei Dorottya	2
12226	Alexey Klyuykov,	4
12227	Lakat Andrea,	1
12228	Lőrinczy Lia	1
12229	alt saxofon,	2
12230	BuDoKu	1
12231	Kurdy Fehér János,	2
12232	Huber Kinga,	10
12233	dr.Gegesy Ferenc  IX.kerület polgármestere	2
12234	MKE Művészeti Anatómia,	2
12235	Orsós László Jakab	6
12236	Bak Imre és Trombitás Tamás,	1
12237	Juraj Oprsal,	4
12238	Csege Vera,	2
12239	Gert Riel,	2
12240	Kiss Adrian	1
12241	Tom Cox-Bisham,	2
12242	PITTMANN Zsófi,	2
12243	Balla Demeter,	14
12244	*Fodor János,	4
12245	Swoboda Katharina,	2
12246	Khaled Jarrar [PS],	2
12247	Fajgerné Dudás Andrea (Bécs),	2
12248	Mohácsi Ildi,	2
12249	Vasvári Márton	2
12250	Melykó Richárd,	2
12251	Budapest Sound Collective	2
12252	Kerékgyártó Béla,	2
12253	Albert Anna,	2
12254	Nagy Zsófia Tempus Közalapítvány programasszisztens	1
12255	Nyári Zsolt,	14
12256	Gulyás Miklós forográfus	1
12257	Abonyi Alma,	16
12258	Bogdándy Szultán,	10
12259	Elina Aalto,	2
12260	Bujdosó Alpár író	2
12261	Magyar Attila	2
12262	Lóska Lajos	34
12263	Berlinische Galerie,	1
12264	Makhult Gabriella grafikus,	2
12265	Izrael Állam nagykövete és Zsigmond Attila,	2
12266	Klaas Kloosterboer,	2
12267	Lydia Schouten,	5
12268	Hegedűs Barbara,	2
12269	David Èerný,	2
12270	Csanády András,	2
12271	Arany Virág,	2
12272	Szőke Ferenc,	2
12273	Husz Dorottya,	2
12274	Edwin Zwakman,	2
12275	Somodi Ildikó,	2
12276	A megnyitót a Nav N Go pályázat díjátadója követi.,	2
12277	Busák Péter,	6
12278	Szabó László,	2
12279	Veres Gábor szobrászművész,	2
12280	Bene Zsuzsanna,	3
12281	Lőrincz Edina,	10
12282	Földes Dóra,	2
12283	Patrick Urwyler,	16
12284	Georg Winter,	4
12285	Beke László - Pauer Gyula,	2
12286	Ilauszky Tamás,	11
12287	lengyel művészkiadványok Piotr Rypson gyűjteményéből,	2
12288	Matthias Jackisch,	2
12289	Szotyory László kiállításában	2
12290	Kalász Márton,	2
12291	Csizek Gabriella  kurátor,	1
12292	Sabina ŠINKO	4
12293	Bálványos Anna művészettörténés	2
12294	Ozoli Iza,	11
12295	KŐRÖSI Zoltán  író	2
12296	Csanádi-Bognár Szilvia	2
12297	Sipos Melinda,	1
12298	Szabó Eszter Ágnes,	42
12299	karikatúra gyűjtő,	2
12300	Kisfaludy András,	2
12301	Pattantyús Márton,	2
12302	Anca Benera – Arnold Estefán,	4
12303	Mogán Orsolya	4
12304	Matko Meštrović	2
12305	Andrea Klimko,	2
12306	tanszékvezető egyetemi tanár,	2
12307	Nagy Zsofia,	2
12308	Király László György közgazdász,	2
12309	Michael Borremans	2
12310	Csíki Ágnes,	2
12311	Sarkady Péter,	2
12312	Estella Burga,	2
12313	aatoth franyó,	6
12314	Kánya Kinga,	2
12315	Burai Árpád,	2
12316	EJTECH (Kárpáti Judit Eszter + Esteban De La Torre),	1
12317	DARADICS Árpád,	11
12318	Trokán Nóra,	2
12319	U-TURN Quadrennial for Contemporary Art (Copenhagen): Solvej Helweg Ovesen,	1
12320	Dr. Mészáros Flóra művészettörténész	2
12321	Berznay Péter,	1
12322	Károlyi György,	2
12323	Vértesi Ági,	2
12324	Mezősi Eszter	2
12325	Sulyok Miklós művészeti vezető,	1
12326	Dan Perjovschi,	6
12327	Ji-Yeong Kim	1
12328	Dezső Tamás  Erdei Krisztina,	2
12329	Fábri Ferenc (Bid),	2
12330	Simon Kati,	4
12331	Tirpák Bálint Gábor,	2
12332	Indiai táncok: Demény Bea,	2
12333	Áfrány Gábor médiaművész,	2
12334	Laza Alexandra,	2
12335	Lévay Jenő Munkácsy-díjas képzőművész,	2
12336	Jan Sowa,	2
12337	Almásy Ottília,	4
12338	Képek és versek,	2
12339	Polgár Csaba György,	2
12340	Mai Magyar Képzőművészet 10.,	2
12341	Interkulturalis,	2
12342	Madarász Gergely,	2
12343	Molnár Illés,	4
12344	Martiny Ivette,	2
12345	Juhász Tamás,	20
12346	KENOR (E),	6
12347	Permanent Residents (Bogyó Virág; Hódi Csilla),	2
12348	Németh Róbert	2
12349	Király András,	52
12350	Pogány Gábor Benő,	34
12351	NAYG ISTVÁN,	2
12352	Peter Fabo	2
12353	BASKA Barbara,	4
12354	Makky György,	1
12355	Párizs - Pálfi Judit	2
12356	The City Artist,	4
12357	DJ Palotai,	2
12358	Záró tárlatvezetés,	1
12359	Dr. Bereczky Loránd - művészettörténész	2
12360	Braco DimitrijeviBraco Dimitrijeviæ,	2
12361	Pálóczy Krisztina,	2
12362	a zene	2
12363	Nyáry Krisztián	3
12364	Csordás Dániel,	2
12365	Nemes Attila kulturális közvetítő (cultural mediator),	2
12366	Sebestyén Zoltán Mucius	2
12367	DJ One-AB,	1
12368	-Bordács Andrea	2
12369	Tóth Csaba,	7
12370	Gyécsek József,	1
12371	Lakatos Erika fotográfus,	2
12372	Harsányi Réka,	12
12373	Pierre De Grandnoire,	2
12374	KEREKES,	2
12375	CSUTAK Magdolna (A),	2
12376	Galériaprogram,	10
12377	Aaron van Erp (NL),	2
12378	Szász Zoltán történész	2
12379	Kicsiny Martha,	6
12380	Salem Haddad,	2
12381	LACZA Fruzsina,	2
12382	Közreműködők: Fehér László festőművész,	1
12383	Tillmann J. A.	19
12384	NAGY István,	2
12385	Group of Six Authors,	2
12386	Neogrády-Kiss Barnabás & Német Szilvi,	1
12387	Gallery8 - Roma Kortárs Művészeti Tér,	2
12388	Tadeusz Rolke,	4
12389	Revolution I love you,	2
12390	Fajcsák Dénes,	2
12391	Krassimir Krastev,	6
12392	Golasz Tímea,	2
12393	Lévay Jenő	9
12394	Gesine Grundmann,	8
12395	Borsik Miklós,	4
12396	Enrique Leal,	2
12397	Nyilvános FORMER WEST szerkesztőségi ülés és tranzit.hu konferencia,	2
12398	Nemere Réka	6
12399	Holly Graham,	2
12400	Pavol Hamžík Szlovákia Nagykövete	2
12401	DLA főiskolai docens	2
12402	Tandori Ágnes és Tandori Dezső,	1
12403	Kormos Borbála,	3
12404	Erőss Nikolett  kurátor	2
12405	Holland - Magyar kiállítás	2
12406	Bilák Krystyna,	4
12407	Gyöngyi KÁROLY-ZÖLD (RO) Péter KECSKÉS Csilla KELECSÉNYI Antal KELLE - Péter BOTOS György KEMÉNY Eva KIPP (NL) Károly ifj KOFFÁN Attila KOPPÁNY Zsolt KOROKNAI Ágota KRNÁCS Eszter LÁNG Jenő LÉVAY Erzsébet LIEBER László LONOVICS Antal LUX (D),	1
12408	JAO Chia-En,	2
12409	Katarína Viskupičová,	2
12410	Hegedűs Márton,	4
12411	Metka Zupanič,	2
12412	Mogán Orsolya,	2
12413	Stánitz Zsuzsanna,	5
12414	Ana Hoffner,	1
12415	Robert Bresson,	2
12416	SZIGETHY Anna,	2
12417	Pála Zsófia,	2
12418	Kőszegi Imre,	2
12419	Takács Lídia,	2
12420	Sabine Himmelsbach,	2
12421	Simon Sándor (F),	2
12422	Sławomir Bit,	2
12423	Koltai Katalin	2
12424	Broomberg & Chanarin,	2
12425	Mihuț Boşcu Kafchin	3
12426	Ex-Artists’ Collective (Kaszás Tamás és Loránt Anikó ),	1
12427	Verebes Ernő	2
12428	Szabó György Munkácsy-díjas szobrászművész,	2
12429	Székhelyi József	2
12430	Kovács Alida,	6
12431	Böjte - Horváth István	2
12432	kurátor: Eike	1
12433	Pető Zsuzsa,	2
12434	MEGYERI Barbara Ráhel,	2
12435	Dréher János,	9
12436	Boris Petrov,	2
12437	Győrffy Sándor,	20
12438	Virágh András,	2
12439	Florin Ştefan	3
12440	Szilágyi Márta,	1
12441	Haász Kati	2
12442	Mátrai Péter	2
12443	Orsós Daniella,	2
12444	Lukácsi Huba,	1
12445	DROZSNYIK István,	2
12446	Nagy Szilvi	2
12447	Meghívott alkotók: Csoszó Gabriella,	2
12448	Bordos László Zsolt,	5
12449	Banki Akos,	1
12450	GÖNTÉR Endre,	6
12451	Csathó Töhötöm,	2
12452	Ferenczy László,	2
12453	Lipkovics Péter	2
12454	Zsikla Mónika művészettörténész	5
12455	Josef Nadj	2
12456	Boldizsar CR,	2
12457	MAYER Éva,	15
12458	Ferenczyné Saás Kinga,	2
12459	Király Erzsébet,	1
12460	Bernáth Dániel	2
12461	Rudas Klára	6
12462	Vollmuth Krisztián	2
12463	Eperjesi Ágnese,	2
12464	Fodor Gábor	5
12465	Stepanovic Tijana	2
12466	képzőművész	29
12467	Jeymer Gamboa,	4
12468	ABCDesign,	2
12469	Bendek Katalin,	1
12470	Sz.A.F.,	1
12471	Gitte Villesen,	6
12472	Kondor Tamás,	4
12473	Rényi András	31
12474	Gunilla Klingberg,	2
12475	Maria Lavman Vetö,	2
12476	BORBÁS Annamária,	2
12477	Borsos József építész,	2
12478	Csordás Zoltán	1
12479	Benkö Imre	1
12480	Kollár Andrea,	4
12481	DÓRA Ádám,	1
12482	Brad Butler & Karen Mirza,	1
12483	Közreműködik: Mátrai Péter,	2
12484	Jörg SCHLICK,	4
12485	Gilles Roudiere	2
12486	Jankovics Marcell,	2
12487	Magyari Zsuzsa,	13
12488	Rosmarie Lukasser,	2
12489	Magócsi Márton,	2
12490	Heikki Orvola,	1
12491	Tarr Hajnalka,	28
12492	Lapos László,	6
12493	Antall istvan	1
12494	Haász Ágnes	4
12495	Sándorfi István	2
12496	Miklós Gábor,	2
12497	Jozsef HAJDU,	2
12498	Paul T. Frankl,	2
12499	Katarina ŠEVIĆ,	4
12500	Esther Stocker,	5
12501	Molnár Vera,	6
12502	Szőcs Géza  kultúráért felelős államtitkár (NEFMI)	2
12503	Németh Viktória,	4
12504	Dévai Lilla	2
12505	Joost Rekveld,	2
12506	Előadó: Györffy Miklós irodalmár,	1
12507	Balina Gyula,	2
12508	diplomázók,	2
12509	Varga Patrícia Minerva,	11
12510	Shlomi Yaffe (Prága/Tel Aviv),	2
12511	Takács Flórián,	2
12512	Jókai Lóránt,	2
12513	Jean-Baptiste Naudy del Fat,	1
12514	Gon Zifroni (NL/BE),	2
12515	Pató Károly,	4
12516	Berény Róbert,	7
12517	GÁL Csaba,	2
12518	Mariusz Kosiba,	2
12519	Fándly Edit,	17
12520	Alexander Brener&Barbara Schurz,	1
12521	Laura Ociepa,	2
12522	St. Auby Tamás	1
12523	Peter Tajkov,	2
12524	Tehnica Schweiz és Katarina Sevic,	2
12525	cím: Epreskert I/2.terem,	2
12526	Szabó és zenekara	2
12527	Szabó Attila Sándor,	2
12528	KUSOVSZKY BEA,	1
12529	Rein Oidekivi,	2
12530	Horváth Kristóf / Színész Bob,	2
12531	Máthé György címzetes prépost,	2
12532	Tudományos konferencia	2
12533	Aykan SAFOĞLU,	6
12534	Voytenko Ghanna	1
12535	Serge Vincendet,	2
12536	HEMRIK László	2
12537	Susanne Gaensheimer	2
12538	Jan Lauschmann,	1
12539	Tamás Réthey-Prikkel,	2
12540	HECKER Péter,	3
12541	Mezey Ottó művészettörténész	1
12542	Vedad Divović,	2
12543	Katarina Šević,	10
12544	Gert Resinger (AT),	2
12545	Hajdú Eszter,	2
12546	Szilágyi Lenke	4
12547	Lepsényi Imre	2
12548	Fábián László,	4
12549	Karmó Zoltán,	4
12550	M. Novák András,	4
12551	Orosz István válogatásában,	1
12552	Kálmán Ernő építész  a MÉSZ elnöke,	2
12553	Sugár Gyula,	1
12554	Palásti Erzsébet,	2
12555	Film/ Baróti Éva,	2
12556	Molnár Farkas-díj 2011 díjátadó,	2
12557	Molnár C. Pál,	10
12558	Bp.Szabó György,	2
12559	Őexc. Dr. Duduzile M. Khoza nagykövet asszony,	2
12560	Vanessa Beecroft,	1
12561	MALGORZATA NIEDZIELKO,	1
12562	Veszprémi Sára	4
12563	Klimó Péter,	2
12564	STARK István,	5
12565	Iványi-Bitter Brigitta,	15
12566	IRWIN,	5
12567	Lelkes László,	9
12568	Dr. Gájer László	2
12569	Stefanovits Péter festőművész	2
12570	L. Molnár Mária művészettörténész	2
12571	Kovács Kitti,	10
12572	Papp Zsófia,	2
12573	Teampannon Lakóegyesület,	2
12574	Zala Szabó Diána	2
12575	A kiállítást röviden bemutatja Szegedy-Maszák Zoltán,	2
12576	Várfok Galéria művészei,	3
12577	MÓRICZ Katalin,	2
12578	Jumpei Shimada (J/AT),	2
12579	Mészáros Flóra	2
12580	Babiczky Tibor,	1
12581	Billy Wilder: Sabrina	1
12582	Pedro Almodóvar,	2
12583	a kurzus vezetője	2
12584	ZEKUFMAN wall paint	2
12585	Marianna Markusková,	2
12586	2003. augusztus 16. 17.00 órakor is	2
12587	Csoszó Gabriella fotóművész,	1
12588	Koreográfus: Nyina Gasztyeva,	1
12589	Szőke Imre,	4
12590	Miklos Onucsan,	3
12591	Kemény Mária,	1
12592	Pinczés József,	21
12593	Agata Chinowska,	2
12594	Kiss Viktória	2
12595	Kortárs női művészek,	2
12596	Dortmund),	2
12597	Csontó Lajos	25
12598	Fridvalszki Mark,	15
12599	ÁDÁM Zsófia,	2
12600	Meshac Gaba,	2
12601	Lutz Dammbeck (DE),	2
12602	KÓTUN Viktor,	2
12603	Sonkoly Tibor,	2
12604	Marc-André Salamin svájci nagykövet,	1
12605	dr. Szoboszlai János	4
12606	Lengyel Tamás,	3
12607	A kilátóterasz,	1
12608	François Laquieze  a Francia Intézet igazgatója	2
12609	KÔD Csoport,	2
12610	TELLÉR Mária,	2
12611	Szabados Árpád,	14
12612	Marjetica Potrè,	2
12613	Zhang Jing Junita,	1
12614	Adrienn Császár,	2
12615	Szűcs Attila	20
12616	Regős Gábor,	2
12617	Sós Gergő	3
12618	Oroszy Csaba	4
12619	Veszprémi Imre,	2
12620	Anna Margit	2
12621	Tóth Balázs	2
12622	Lucia Tkácová,	2
12623	Várady,	4
12624	Rozmán Lajos klarinétművész	4
12625	Somogyi Laura (Gyergyószárhegy),	2
12626	Halász Péter Tamás	7
12627	Veronika Dirnhofer,	2
12628	Igor Hofbauer,	2
12629	Ahmed M. AlBadawy,	2
12630	Kmetty János	4
12631	Iwanaga Emi,	1
12632	Ádám Anna – Gray Box Projects,	2
12633	| Török Tamás,	1
12634	Czegledy,	1
12635	TURÁNYI GÁBOR,	1
12636	Korányi Mátyás,	2
12637	PLH ARKITEKTER,	2
12638	Kecskés Kriszta üvegművész	2
12639	Dánia magyarországi nagykövete,	2
12640	SZAF	2
12641	Ying-Cheng;,	2
12642	Pomsár Miklós,	6
12643	DJLiquid	2
12644	EL-HASSAN Róza,	6
12645	Nina Czegledy médiaművész  kurátor és író	2
12646	Balázs Kitti,	2
12647	Piotr Krajewski,	7
12648	KUTAK Adrienn,	1
12649	SZ.A.F – SZÁJJAL ÉS AGGYAL FESTŐK VILÁGSZÖVETSÉGE	2
12650	Aknai János és ef Zámbó István,	1
12651	Négyesi Ádám,	2
12652	Erik Norden,	2
12653	Solymosi Mór,	2
12654	Für Anikó,	2
12655	Gutema Dávid,	12
12656	Solt András Gábor,	1
12657	Skuc Galéria),	1
12658	Rácz Noémi,	6
12659	Homolya István,	2
12660	Komoróczky Tamás és Lakner Antal,	1
12661	Mélyi József  művészettörténész,	1
12662	Fabricius Anna,	68
12663	Magyarics Tibor,	6
12664	Kiss Imre,	3
12665	Nayg István	1
12666	Révész L. László,	2
12667	Szarvas Gábor,	1
12668	Bonnie Baxter,	2
12669	Rónai Péter,	2
12670	Varga Erik,	14
12671	Kovalik Balázs	2
