	step6	version 6 - top sim	version 6 - cnt
7844	borsos miklos	67	12
7845	sensaria csoport	52	2
7846	magyar kepzomuveszeti egyetem	86	32
7847	angela kocze timea junghaus	45	1
7848	jeanpierre farkas	57	2
7849	moravanszky akos	67	2
7850	toth jozsef fules	57	2
7851	takacs szilvia anett	62	2
7852	acs balint	64	10
7853	acsai miklos	78	6
7854	schmidt gabi	55	2
7855	makkai daniel	69	2
7856	charles lansiaux	52	2
7857	pok timea	64	4
7858	rasa vesali	57	3
7859	aleksander komarov	79	2
7860	szerelmet feketepiacrol	47	1
7861	andreas ludwig	56	1
7862	farkas franciska	64	2
7863	david renault	52	4
7864	ewerdt hilgemann	53	2
7865	barany mate	60	4
7866	mayer jozsef gordon	53	2
7867	repaszki ferenc levay jeno	50	2
7868	burt caesar	55	1
7869	gianfranco nicolato	50	4
7870	gyalog eszter	69	4
7871	fejezetek nemzeti kulturalis alap	43	1
7872	kovats nora	71	1
7873	raboczky judit	57	22
7874	hangay szabo laszlo	67	5
7875	oexc siri ellen sletner	56	2
7876	karman daniel	69	4
7877	nagy kriszta	71	30
7878	peter baum	61	4
7879	zani gelevska	59	2
7880	costache adrian	64	1
7881	torok tamas	76	137
7882	peter sarkozi	61	1
7883	dinaiszky laszlo	74	2
7884	bodo viktor	58	1
7885	tatai erzsebet	62	103
7886	korniss dezso	75	34
7887	cristian rusu	56	4
7888	csontoy bernadett	55	2
7889	fazakas csaba kurator	59	1
7890	zsitva tibor fotoival	53	2
7891	nemes nikolett	52	11
7892	ignacio martinez pison	56	2
7893	kepzomuveszeti egyetem	86	3
7894	koch maria	64	1
7895	dominique malaquais	50	2
7896	mezoszemerei alkototelep	45	1
7897	jozsa marta	73	2
7898	krystian czapliczki	48	2
7899	nina maron	70	2
7900	atrium epiteszeti studio	54	2
7901	ambassador maximiliano gregoriocernadas	44	2
7902	brodszky sandor	77	2
7903	bor istvan	75	1
7904	kocsis eszter	67	2
7905	borsos lorinc lilla	56	4
7906	bohus aron	57	4
7907	head board	58	2
7908	ivanyi bianca	64	32
7909	lotz karoly	67	5
7910	santa diver	61	1
7911	lampert benedek	50	3
7912	werner bischof	62	1
7913	zarand gyula	72	5
7914	iparmuveszeti egyetem	84	1
7915	racz miklos	78	3
7916	pang maokun	58	2
7917	vierka vojciakova	55	2
7918	janosi antal	72	2
7919	schmal karoly	67	25
7920	natalia szostak	59	2
7921	szanto istvan	70	14
7922	cf moller	50	2
7923	tothne szabo magda	57	2
7924	pal peto janos	71	2
7925	szabo otto robotto	54	2
7926	hanik boglarka	67	1
7927	boris groys	67	5
7928	simon zsuzsaeti	64	2
7929	piotr sikora	58	6
7930	fecso szilard	50	2
7931	nagy laszlo	74	3
7932	paulina buzniak	53	1
7933	oexc hasan hasanov	55	2
7934	casey bolding new york	49	2
7935	delaine le bas	54	3
7936	pierre vadi	57	2
7937	provaznik ariel	57	4
7938	borcsok mihaly	69	4
7939	josip vanista	72	9
7940	tanja dabo	57	2
7941	marjetica potre	53	2
7942	kerekes anna	69	9
7943	kirill koteshov	53	2
7944	pal katja	63	4
7945	zoltan maria flora	58	9
7946	kurdi anita	58	8
7947	orszagh gabor	57	2
7948	pal zsuzsanna rebeka	67	6
7949	pogany gabor beno	53	42
7950	szegedi csaba	64	6
7951	mark tauber attache	53	2
7952	maroti szabolcs	60	2
7953	berta julianna	59	13
7954	racmolnar sandorhetenyi judit	61	2
7955	szatmari sara	59	6
7956	janos sugar	67	2
7957	braun andras	75	60
7958	munkaskultura duna	48	2
7959	fazakas gyula	85	1
7960	biro sandor	77	9
7961	bozsik peter	64	2
7962	korodi luca szurcsik jozsef	50	2
7963	hygei zoslt	52	2
7964	kaszas reka	58	22
7965	aaron blumm	50	2
7966	haasz agnestorok tamas	67	2
7967	erdi robert	70	1
7968	peteri gyorgy	77	2
7969	szilak andrea	69	2
7970	anna baumgart	62	4
7971	szazesztendos fotografiak	56	1
7972	liz ingram	61	2
7973	hanka nora	67	20
7974	szoboszlai lilla muzeologus deri muzeum	44	1
7975	bago bence	57	2
7976	dukay nagy adam	53	3
7977	daniel muzyczuk	52	4
7978	katharina bach	62	2
7979	kovacs zsolt	67	2
7980	molnar sandor nadler istvan	71	2
7981	tangl edit	56	11
7982	temesi maria	62	4
7983	juhasz nora textiltervezo	46	2
7984	guy langevin	64	2
7985	cho minsuk	50	2
7986	balogh krisztian	71	9
7987	meszoly suzanne	53	2
7988	eugene frank	52	1
7989	kiss tanne isvan	62	2
7990	barta zsolt peter	67	20
7991	balla benjamin	57	1
7992	glenn brown	57	2
7993	szabo emoke	55	2
7994	rajz tanszek vezetoje	53	2
7995	hiller istvan	70	8
7996	barath hajnal	56	5
7997	ilka habrich	67	2
7998	cyryl polaczek	48	3
7999	janossy kinga	67	2
8000	harsanyi laszlo	76	8
8001	jim urquhart	48	1
8002	gozon marta	73	1
8003	lorant zsuzsa	64	2
8004	simon judit	64	1
8005	eduard tauss	52	2
8006	weores sandor	69	2
8007	kovacs tibor	70	8
8008	szirtes andras	69	21
8009	nj el&otildeadasa	51	2
8010	eros agost koppany	53	11
8011	lukac patrik	58	2
8012	nepszabadsag fotorovatvezetoje	54	2
8013	dj yokes	50	2
8014	yuriy gurzhy	52	2
8015	baksai jozsef	62	59
8016	felvideki miklos	57	4
8017	schubert erno	61	2
8018	veres attila	64	8
8019	hupjan attila	62	2
8020	halmyhorvath istvan	72	1
8021	rajta adrienn	58	2
8022	pinczehelyi sandor marilena predasanc mircea suciu	43	2
8023	marcio canabarro	57	2
8024	sipos mihaly	69	5
8025	rauschemberger janos	61	2
8026	eleonora umeva	52	2
8027	zaro tarlatvezetes tarlat ket kuratoraval	48	2
8028	denes eszter	64	2
8029	ivan bura	64	2
8030	newsha tavakolian	53	2
8031	darvasi laszlo	76	13
8032	justyna smolen	50	3
8033	film baroti eva	53	2
8034	marschall miklos	71	2
8035	pery puci avaparti	52	2
8036	tettamanti adam	75	13
8037	plank antal	76	4
8038	katarina roters	67	1
8039	pataki janos	69	22
8040	balogh andrea	67	2
8041	stephan baumkotter	65	2
8042	novak peter janos	71	2
8043	miguel angel rios	55	2
8044	gyori andrea	67	2
8045	tomislav gotovac	51	9
8046	volodymyr kuznetsov	47	6
8047	kristina ekman swedorszag	55	2
8048	antal andras	75	2
8049	drpassuth krisztina	63	2
8050	claes oldenburg	52	2
8051	urban peter	64	2
8052	fodor daniel janos	55	21
8053	krzysztof siatka	57	1
8054	fazekas anna	67	2
8055	helga philipp	42	5
8056	tilo schulz	50	18
8057	heller agnes	64	2
8058	el kazovsky	55	6
8059	kulcsar irisz	56	2
8060	jeanpascal leger	52	1
8061	lendvai adam	59	23
8062	peto tibor magyarorszag	73	2
8063	tompa andrea	70	5
8064	bkf fotografia	56	4
8065	molnar ani galeria	71	13
8066	anton lederer	62	4
8067	schneider marta szakallamtitkar	49	2
8068	entz geza	70	2
8069	toth tamas	76	2
8070	vorosvary akos	67	25
8071	jana tartalova	62	2
8072	zsofia nagy	61	2
8073	betuker istvan	75	5
8074	katarzyna majak	62	1
8075	ivo precek	50	4
8076	bojte horvath istvan	72	8
8077	szilvi nemet	62	6
8078	szenczy zoltan	62	1
8079	agnieszka polska	60	2
8080	magyar festok tarsasaga	60	6
8081	rajnai akos	61	16
8082	hajdu janos	64	2
8083	melis andras	69	4
8084	eastwing group	52	2
8085	lengyel tibor	72	1
8086	ezsias istvan	69	14
8087	ilka rita	67	8
8088	floszmann attila	64	6
8089	kornis gyorgy	69	9
8090	kuglerart szalon	57	2
8091	klosz orsolya	69	6
8092	puhl antal	76	10
8093	remseikovacs nora	71	4
8094	simon menner	52	2
8095	aneta szylak	59	5
8096	maurizio cirillo	62	2
8097	valyi csilla csellomuvesz	51	2
8098	zsigo bianka	61	7
8099	st auby tamas	61	9
8100	fejer erno	61	5
8101	jan hoet	56	2
8102	benes bator	61	2
8103	gal klaudia	67	5
8104	orban endre	73	2
8105	jokay zoltan	72	1
8106	lubloy zoltan	72	8
8107	danna taggar heller	56	2
8108	moro mate	60	3
8109	langer armin karikaturista	51	2
8110	technology will save us	46	1
8111	nagy lea	74	4
8112	gabriela garlatyova	55	2
8113	koczo attila	72	2
8114	winkler nora	64	35
8115	vincze balazs	74	5
8116	salam haddad	64	2
8117	mtv networks magyarorszagi	73	1
8118	giovannini kornel	56	1
8119	pavel hayek	50	3
8120	sinha robert	70	2
8121	cako ferenc	72	2
8122	sos evelin	57	24
8123	balazs eszter	69	9
8124	olajos ilka	58	6
8125	vincent mundy	54	2
8126	kovacs alida	67	7
8127	rosalind nashashibi	52	2
8128	kondasz ferenc	72	3
8129	lisztes edina	61	1
8130	lonovics laszlo peter agnes	64	2
8131	rohringer immanuel	52	2
8132	biro klara	67	2
8133	rakosfalvy zsuzsi livia	51	2
8134	kathy rose	56	1
8135	laurynas karmalavicius	53	4
8136	josephine bonnet	58	2
8137	louis malle vegzet	49	1
8138	nagy ervin	67	13
8139	sztrakay orsolya	69	2
8140	fekete jozsef	62	5
8141	papai emese	56	7
8142	lochan upadhyay	50	2
8143	janusz cywicki przemysli kortars muveszeti galeria	46	2
8144	davorin marc	56	3
8145	farkas zoltan	72	2
8146	zemlenyikovacs barnabas	65	11
8147	lukasz huculak	54	2
8148	puskai sarolta	59	4
8149	bogyay katalin	69	2
8150	gaal endre	67	11
8151	csernaszabo andras	67	2
8152	alzbeta bacikova	55	2
8153	frankfurt beatrix	50	2
8154	pinter juli	57	2
8155	fabrizio giraldi	62	2
8156	thomas birtel	56	2
8157	puskas tivedar szombathely megyei jogu varos	51	2
8158	schiffer pal	62	2
8159	manyoki endre	67	22
8160	hungarian university fine arts	45	2
8161	sarvary katalin	69	6
8162	toth andrej	70	16
8163	bodoni zsolt	58	15
8164	gross arnold	58	9
8165	szeplaki gerda	59	2
8166	lisl ponger	64	1
8167	heidi greb	57	1
8168	banner zoltan	69	4
8169	mihalka gyorgy	74	1
8170	janoch livia	57	3
8171	fiorella fiore	55	2
8172	alidermes bruno cassaglia	51	2
8173	melyi jozsefettortenesszel	47	2
8174	tamaska mate moderal keszman jozsef	56	2
8175	verseghinagy miklos szentednre	51	2
8176	prem vanda	58	2
8177	nemzetkozi fuggetlen kortars zenei talalkozo	46	2
8178	zepfalvi agnes	69	2
8179	liptak ildiko	75	2
8180	feledy botond	62	4
8181	marcel gautherot	56	2
8182	szekelyi kati	64	12
8183	bazsa gyorgy dsc	64	2
8184	segesdi bori	58	4
8185	erdelyi emese	62	10
8186	farkas kincso	72	2
8187	ninkov olga	50	2
8188	battha gaspar	59	2
8189	haruko maeda	61	2
8190	mira milicev	56	2
8191	szabo imrefia bela	57	4
8192	bjorn dahlem	50	1
8193	heta makela	61	2
8194	soos gyorgy	70	3
8195	anna hausova	58	1
8196	fuchs peter	64	5
8197	zsigmond laszlo	67	4
8198	kosa ferenc	70	6
8199	simon elias meier	64	2
8200	koller laszlo gondolatkivitelezo	49	2
8201	hincz agnes	75	2
8202	jonas petra	73	2
8203	matei caltia	58	2
8204	nel aerts	56	2
8205	szanto daniel	69	4
8206	guglielmo achille cavellini	42	5
8207	tatjana vujinovic	50	2
8208	bodoni dzsolt	64	1
8209	polyapeto david	54	2
8210	architecture uncomfortble workshop	43	1
8211	galos viktor	52	2
8212	gulya gabor	61	2
8213	herkki erich merila	51	2
8214	agotha margit	58	8
8215	gonda tibor	70	2
8216	buttinger gergely	55	2
8217	az eszt erdogazdalkodasi	50	2
8218	david stuart sutherland	53	2
8219	sebastian hoch	73	2
8220	kapolyi marta	62	2
8221	gajzago donata	57	17
8222	bozsogi nora	56	8
8223	marinka limat	62	1
8224	beate reifenscheid	53	2
8225	lukacs robert	56	12
8226	geometria tanszek	53	4
8227	schumy eva	58	2
8228	kincses gyula	48	2
8229	jegenyes diana	59	2
8230	krausz daniel	69	8
8231	gaspar peter	70	1
8232	endri dani	55	1
8233	kovacs maria	78	2
8234	veronika dirnhofer	55	2
8235	svajci allamszovetseg magyarorszagi nagykovetsege	47	2
8236	knetik andrea	65	2
8237	meszaros bori	58	7
8238	kapala gyorgyi	81	4
8239	sergio castrillon	53	2
8240	rockenbauer zoltan	94	55
8241	varga domonkos	62	6
8242	kizima chikako	56	2
8243	drrenyi andras	67	2
8244	lugosi agnes	74	4
8245	tomo sevicgecan	52	2
8246	birkas akossal	57	3
8247	bayer ilona	56	3
8248	cic csoport	44	1
8249	cseke szilard	67	62
8250	lepsenyi imre	54	24
8251	jeff koons	43	2
8252	kovacs adam	78	2
8253	kegytargyas feri	50	3
8254	staharoczky julia	62	2
8255	wachter denes	56	13
8256	zita gyurkovics	52	2
8257	bito ildiko	75	7
8258	illes marton	64	2
8259	galantai gyorgy	79	64
8260	csanadibognar szilvia	65	5
8261	jan chlup	57	2
8262	papp ildiko	75	13
8263	zsemberiszigyarto miklos	53	4
8264	feith balint	52	4
8265	david reumuller	54	2
8266	tallinni fotohonap	47	2
8267	david hammons	52	2
8268	secret stars	58	2
8269	alexandra pellissier	67	2
8270	grisztel eliza	56	3
8271	kalman erno mesz	57	2
8272	peter friedl	56	1
8273	kovago nagy imre	54	1
8274	ania niemierko	59	1
8275	modern tancjatek studio alapitvany	58	1
8276	aleksi ahtola	56	2
8277	lsimon laszlo orszaggyules kulturalis bizottsaganak	44	1
8278	huszti janos	58	7
8279	anna khodorkovskaya	58	2
8280	ilona staples	64	2
8281	granasztoi szilvia	73	1
8282	kutasi karoly	69	5
8283	gorozdi lilla	67	2
8284	fulop zsolt	61	2
8285	virag istvan	78	4
8286	awacs piotr grzybowski	50	1
8287	juhasz jozsef	64	29
8288	tomas kajanek	58	2
8289	nikolaus gerszewski	52	3
8290	tillmann jozsef	73	17
8291	zbynek sedlecky	47	2
8292	jan kennis attase	55	2
8293	varga matyas	62	12
8294	kapusi gabor	83	4
8295	talaber geza	70	4
8296	artist artur zmijewski	53	2
8297	kozremukodik szirtes edina mokus	48	4
8298	zene esch mihaly	76	2
8299	nemeth marcell	71	44
8300	dobrentey zsolt	64	2
8301	doris halfmann	60	2
8302	szoke peter	73	14
8303	koltai lajos	67	3
8304	tordais attila	64	2
8305	herczeg nandor	74	14
8306	jonas mekas	73	8
8307	lena dobrowolska	57	2
8308	rostas peter	87	5
8309	lantos edit	67	1
8310	az swierkiewicz robert	51	2
8311	stanitz zsuzsanna	73	9
8312	pecsi agnes egyiptologus	45	2
8313	engler andras	78	6
8314	vesa varrela	61	1
8315	tudos anna	64	5
8316	yonghak jo	55	2
8317	csernus tibor	72	43
8318	pajer emilia ferenczy noemidijas textilmuvesz	46	2
8319	mihai iepuregorski	53	2
8320	bak imre csaji attila	57	2
8321	totfalusi agnes	74	2
8322	kathrin rhomberg	62	4
8323	bogdanka poznanovic	50	2
8324	haraszty istvan hencze tamas	56	2
8325	yin aiwen	56	2
8326	simona sarghiuta	56	2
8327	erwin birnmeyer	55	2
8328	kozma gyorgy	80	4
8329	makrai peter	70	2
8330	huszar david	56	2
8331	veress krisztina	67	2
8332	laczkovich borbala	50	2
8333	petra maitz	67	1
8334	kozma anita	62	4
8335	granasztoi gyorgy	75	4
8336	hegedus orsolya	57	4
8337	aknay janos	62	40
8338	molnar judit lilla	65	49
8339	rockembauer zoltan	94	2
8340	ruzs kerekasztal	56	2
8341	cselotei nikolett	56	2
8342	erhan lanpir	59	2
8343	rolf denzel	56	4
8344	szoke annamaria	57	17
8345	varfi istvan pityke	58	2
8346	gergelyi erna	62	2
8347	pellei petra	56	2
8348	woody allen manhattan	52	1
8349	florentia ikonomidou gr	49	2
8350	kinter alexandra	62	2
8351	klobusovszky peter	71	2
8352	torok adrien	69	26
8353	ipsics barbara	62	19
8354	lidia krawczyk	56	2
8355	keseru karoly	74	26
8356	keppel marton	64	15
8357	maklary lilla	65	2
8358	memento mori kozhasznu egyesulet	45	2
8359	philippe halsman	53	2
8360	karol kallay	56	1
8361	torok peter	73	1
8362	vass norbert kepiras	56	2
8363	utsu yumiko	50	2
8364	schmidt agnes	74	2
8365	clemens krauss	58	1
8366	denis salivanov	56	2
8367	sebetyen jozsef	60	2
8368	szechy beata hungarian multicultural center	42	2
8369	kuli adel	55	4
8370	sin olivier	95	2
8371	travelling communique	46	1
8372	fiona tan	64	2
8373	kathy rae huffman	61	2
8374	ara jerezian	58	2
8375	gyenis tibor	72	95
8376	hugo erfurth	43	1
8377	pragai magyar intezet	56	2
8378	sebastian wahlforss	73	2
8379	serafin alvarez	59	2
8380	szakall szilvia	71	2
8381	becskei andor	67	3
8382	szepes laszlone	72	4
8383	kovacs mate	78	6
8384	farkasdy zoltan	69	2
8385	musica moralia	55	3
8386	laszlo pal	70	4
8387	balogh zsofia	72	2
8388	kevin dooley	55	1
8389	menyhart norbert	53	16
8390	lovass dora	64	4
8391	turai kincso	72	3
8392	schneemeier andrea	81	21
8393	jan adriaans	64	2
8394	barakonyi szabolcs	55	40
8395	kelemen karoly	76	48
8396	rob ibolya	86	2
8397	silvio lorusso	53	2
8398	robert florey	52	2
8399	marki zsuzsi	67	2
8400	fenyvesi aron	61	163
8401	palman zsuzsanna	73	3
8402	jan macko	56	2
8403	gaspar julia	62	4
8404	karsai gabor	83	2
8405	feszt laszlo	82	4
8406	meghivottk csoszo gabriella	50	2
8407	landvai adam	61	2
8408	antall istvan	69	9
8409	peter vladimir	56	1
8410	ttoh aadm	59	2
8411	bodor lilla magyarorszag	49	2
8412	finn epiteszeti muzeum helsinki	56	2
8413	rose davey	52	1
8414	herczeg agnes	75	4
8415	hevesiszabo lujza	53	2
8416	kunyo kru special	50	2
8417	jessica bronk	56	2
8418	augusztin marta	71	2
8419	csongor dombovari	53	2
8420	godi vass istvan	64	2
8421	rainer ganahl	55	2
8422	borsay marti	58	10
8423	szolnok mjv polgarmestere	56	2
8424	kosa gergely	70	12
8425	karlheinz essl	56	2
8426	madas laszlo	82	1
8427	art generation	56	2
8428	dy tagowska	45	2
8429	malnay levente	54	3
8430	polgar botond	62	6
8431	el kazovszkij erdelyi gabor faa balazs feher laszlo forgacs peter gabor aron gayor tibor	36	2
8432	bernath sandor	81	2
8433	rona jutka	63	1
8434	mezei otto	53	7
8435	racz istvan	78	2
8436	kadri helde	58	2
8437	bukor tibor	67	2
8438	gal andras	91	47
8439	szilagyi varga zoltan	57	6
8440	szabo dorottya szabo peter levente	51	1
8441	szabo adam balint	57	1
8442	korenyak zsofi	62	2
8443	espirit escalier	54	2
8444	markus andras	72	2
8445	toth roza	71	2
8446	fabry peter	70	2
8447	helmy nouh	50	2
8448	jozsef juhasz	50	4
8449	hanna schimek	59	1
8450	kis benedek	58	2
8451	kacsor adrienn	69	6
8452	halasz geza	70	2
8453	alexandre devals	67	2
8454	kiss judit agnes	62	2
8455	szilvasy edit	67	2
8456	santha agnes	64	1
8457	kalman gyorgy	81	2
8458	amanda hopkinson	55	1
8459	michael mullerverweyen	55	8
8460	vasak benedek balazs	58	4
8461	endlein zsofia	64	2
8462	palffy gyorgy tarlatvezetese	49	1
8463	zenel sipos mihaly	76	2
8464	gary hume	50	11
8465	joo julianna	55	4
8466	petre caprita	67	2
8467	szonyi istvan	67	11
8468	iida kazuna	56	1
8469	zene tatlin	58	2
8470	ivan timea	63	2
8471	eve arnold	61	2
8472	toth eva	71	7
8473	nemes nora	58	1
8474	eln ferenc	67	3
8475	erdei zsuzsa	74	2
8476	strissowszky szilard	61	2
8477	biess katalin	71	6
8478	remo leinhard	52	2
8479	forizs rita	61	2
8480	ascher tamas	67	2
8481	koroknai zsolt metu	62	2
8482	lestyan goda janos	62	1
8483	sean caulfield	59	2
8484	kolozsvari grandpierre miklos	53	2
8485	janez bernik	56	2
8486	jeanfrancois dubreuil	53	2
8487	molnar adambocsi peter	65	2
8488	sebastiao salgado genesis	64	6
8489	frauke boggasch yves bresson	49	1
8490	viktoria lomasko	53	2
8491	csabai tibor	78	2
8492	basch arpad	61	2
8493	karin pfeifer	64	1
8494	arki tibi	60	2
8495	tatai tibor	78	2
8496	atoth jozsef	67	2
8497	csilla szabo	56	1
8498	sin oliver	95	2
8499	eszerhazy marcell	71	2
8500	bernat andras	81	62
8501	krajnik istvan	74	5
8502	kubinyi katalin	71	4
8503	peto zsofia	67	2
8504	valentine judge	69	1
8505	iski kocsis	56	2
8506	arturo infante	54	2
8507	konrad rainer	59	2
8508	kecskes kriszta uvegmuvesz	52	2
8509	lajtai peter ideje	60	1
8510	des laszlo	82	2
8511	miltenyi tibor united eams night	44	1
8512	pasztor marta	71	2
8513	steffen missmahl	48	2
8514	aszalos endre	57	3
8515	majdan istvan	74	2
8516	vaszko erzsebet	57	6
8517	az iparmuveszeti muzeum	56	3
8518	valerie jaudon	69	2
8519	alapfy laszlo	72	4
8520	geger melinda	62	2
8521	erdos zsuzsanna	74	2
8522	john cassavetes	54	2
8523	volkova sisters dj set	50	2
8524	mag kriszti	64	2
8525	balog zoltan	72	10
8526	michael blum	60	5
8527	gulyas gabor muzeumigazgato	58	4
8528	david ding perez	52	2
8529	don marshall	57	5
8530	korosi zoltan	67	8
8531	maria papadimitriou	56	2
8532	oskar hansen	57	1
8533	teszner barbara	62	2
8534	bona otto	60	6
8535	ferenczy muzeumi centrum	51	6
8536	kathrin pohlmann	62	2
8537	lorinczy lia	61	9
8538	szalay pal	70	2
8539	donath lajos	67	2
8540	kardos peter	78	1
8541	laborc zsofia	69	2
8542	michaela thelenova	60	2
8543	benczur emese	62	73
8544	charlotte herben	53	4
8545	czeizel balazs wrobel peter	47	2
8546	rozsa peter	87	4
8547	buvari tamas	67	2
8548	sandor judit	73	2
8549	josh begley	61	2
8550	gera mihaly	59	23
8551	steiner villo	53	4
8552	tomas eller	61	2
8553	dosa ildiko	73	2
8554	bendzsel miklos szabadami hivatal	55	3
8555	timar katalin ludwig muzeum kuratora	45	1
8556	kosziba klaudia	64	3
8557	michal sroka	60	1
8558	magyar kornelia	57	5
8559	dworzaksubocz agata pl	46	2
8560	kusovszky bea	71	22
8561	gajda barnabas	62	2
8562	rudolf duhrkoop	46	1
8563	csomosne molnar monika	51	2
8564	hodi csilla	67	21
8565	szocs zoltan zorgo	69	2
8566	keszmann jozsef	73	6
8567	barabas miklos	57	7
8568	bolla szilvia	71	10
8569	radnoti blanka	54	2
8570	szij kamilla	59	98
8571	takacs gabor	75	2
8572	"varga balazs ""szovjet"""	53	2
8573	seres szilvia dla	67	3
8574	altneder peter	64	5
8575	horvath krisztina	67	10
8576	kacso fugecu	54	10
8577	kordas kinga	62	2
8578	rosko gabor	70	94
8579	bernd hopfengartner	53	2
8580	kosa judit	73	1
8581	bujdoso attila	64	4
8582	kozsuharov zsuzsanna	69	4
8583	otto laszlo	70	10
8584	ksenija skrilec	54	2
8585	schmied andrea	81	2
8586	sonkoly tibor	67	2
8587	haraszty edeske	56	2
8588	harmadik hang haza	50	2
8589	ivan buharov	58	34
8590	sissa micheli	56	2
8591	dan merta	63	2
8592	szekacs zoltan	69	14
8593	calin dan	57	6
8594	blood mountain alapitvany	58	2
8595	galik andras	91	6
8596	erdely perovics andrea	57	3
8597	katrina stamatopoulos	59	1
8598	matthias trager	59	1
8599	rostas bea piros	64	2
8600	christoph rauchmenesi attila	57	2
8601	julio carrasco breton	53	2
8602	holb ibolya	86	1
8603	muranyi kata	67	2
8604	retkowska izabella pl	54	4
8605	szigeti szilvia	73	10
8606	vioara dinu	61	2
8607	stewe horrible	54	1
8608	jonas vera experiment	56	2
8609	gaal gyongyver	64	3
8610	kutasy mercedesz	52	4
8611	liz cohen	47	2
8612	horvath helen sara	57	13
8613	daniella loisel	55	4
8614	spiral team	57	2
8615	guido werve	45	2
8616	szelenyi karoly	76	2
8617	vinicius moraes bossa darabjaival	47	2
8618	krystyna gorazdowska	53	2
8619	jaros3aw suchan	57	2
8620	juhasz peter	64	1
8621	baumgartner dubravko	52	6
8622	hartung sandor	64	1
8623	irina botea {ro}	53	2
8624	galantai zoltan	71	2
8625	geller bistvan	64	2
8626	ivan lardschneider	59	2
8627	farkas lucian	80	4
8628	joanne lee	67	1
8629	pauline boudry	59	10
8630	lacroix severino cohen uphoff tome zenon mujinga ibrahim	42	1
8631	haasz ferenc vilagitastervezo	47	1
8632	foldi petra	64	2
8633	balazs ambrus	58	2
8634	stein anna	67	4
8635	ghenadie popescu	53	2
8636	luo zhixia	52	2
8637	nicola perscheid	59	1
8638	mulady brigitta	62	1
8639	szabo renata	72	2
8640	kathrin becker	69	2
8641	tarso katalin	71	2
8642	roman uranjek	56	6
8643	szilagyi istvan	67	2
8644	the beton	56	1
8645	nemes anna	60	14
8646	essor emeritus fekete gyorgy magyar muveszeti akademia	49	2
8647	beata filipowicz	47	1
8648	lelkes dergacs maria	75	4
8649	nagy mozes klarinetmuvesz	52	2
8650	kovacs borbala	60	1
8651	gyenes zsolt	58	54
8652	jane petrie	67	2
8653	michael currie	57	2
8654	viktor kopasz	52	4
8655	kyungwoo chun	58	2
8656	csizek tamas	67	2
8657	muller rita	67	4
8658	jeanbaptiste ganne	50	2
8659	lengyel andras	67	62
8660	palatinus dora	59	6
8661	gazda bence	67	4
8662	brindusa armanca	55	6
8663	adamik lajos	67	2
8664	ezsik alajos	67	2
8665	laszlo bandy	58	9
8666	staffan carlsson	59	1
8667	haasz agnes met	56	2
8668	medve mihaly	62	7
8669	edina fulop	52	2
8670	berki martin	67	4
8671	ian berry	57	1
8672	kodwo eshun	58	3
8673	baksasoos attila	80	2
8674	johan dam	70	4
8675	csernus imre	55	4
8676	boros luca	70	2
8677	burovincz laura	56	2
8678	gerloczy marton	62	2
8679	nahte veto janos	64	1
8680	borsos lorinc	70	101
8681	szurcsik jozsef	69	107
8682	walker evans	58	2
8683	milica reinhart	52	4
8684	verebes gyorgy munkacsydijas	56	6
8685	kerenyi szabina	61	4
8686	navid nuur	50	4
8687	ahmed badry	56	2
8688	agus burhan	55	2
8689	bakonyi zsuzsi	55	2
8690	panasiewicz alicja	50	2
8691	magyar fotoriporterek tarsasaga	51	2
8692	kollar zsofia	69	1
8693	fliegauf benedek	52	4
8694	anette messager	52	2
8695	szervatiusz dedunokak	54	1
8696	art narrative	55	2
8697	julia stoschek collection	47	3
8698	marlena novak	62	2
8699	szentivanyi reka	57	12
8700	aalto egyetem	56	2
8701	tiberiu alexa muzeul judetean arta	44	2
8702	hernady miklos	69	2
8703	nada prlja	55	1
8704	vicsek viktor	56	2
8705	ewa axelrad	48	2
8706	kuizs lilla	67	4
8707	matl peter	73	2
8708	jan lauschmann	57	1
8709	molnar eva	64	4
8710	riz gabor	70	2
8711	gyenge lajos	58	4
8712	varga miklos	73	3
8713	jovanovics tamas	65	36
8714	claude pasquet	48	2
8715	wei xiang	53	2
8716	molnari mariann	64	4
8717	fajgerne dudas andrea	56	54
8718	heinecke uta	54	4
8719	yvonne doderer	58	2
8720	kotorman norbert	67	35
8721	mesterhazy akos	55	2
8722	daniela comani	60	2
8723	eross nikolett	61	53
8724	bada tibor	61	4
8725	kis gabriella	67	2
8726	boraros henrich	64	2
8727	kudri david	57	2
8728	markus schinwald	57	4
8729	meszaros miklos	80	2
8730	molnar szabolcs zenetortenesz	59	2
8731	zeneszerzo ifj kurtag gyorgy	50	2
8732	tasnadi szandra	64	9
8733	fovarosi keptar	58	4
8734	lakat andrea	75	3
8735	somorjaikiss tibor	50	5
8736	kaszas tamas	67	127
8737	francoise gillot	51	2
8738	hermina alkotocsoport	59	8
8739	aleksander pieniek	67	2
8740	gergelyfarnos lilla	60	2
8741	jeff taylor	61	4
8742	balla demeter herendi peter vekas magda	49	1
8743	eperjesi agi	59	2
8744	orkenyi antal czeto	54	2
8745	moderator hadas miklos	65	1
8746	karsai zsofia keramikusmuvesz	52	2
8747	podolyak vilmos	52	1
8748	lovas ilona	58	63
8749	bartok janos	64	2
