	step6	version 6 - top sim	version 6 - cnt
351	tkaeovaa chisa	56	1
352	victor baladoch	52	2
353	tarr hajnalka	62	36
354	peter michalovie	65	4
355	toth dominika	64	4
356	szabo imola julianna	59	16
357	agostonpapp monika	53	3
358	parlag istvan	69	4
359	farkas kinga	69	2
360	mana bucur	54	6
361	mihalovics eva	60	2
362	lebhardt oliver	64	2
363	enek spielberger agi	53	2
364	iwasawa arimichi	52	2
365	stark istvan csizy laszlo	59	2
366	toth anna	78	4
367	toth anett	74	6
368	balazs sandor	56	11
369	gesler zsuzsa	64	2
370	sarkozi romano	56	1
371	hafner monia	55	2
372	juhasz dora	64	19
373	hudi laszlo	73	2
374	hecker peter	72	50
375	cvetka hojnik	54	8
376	oiva toikka	50	1
377	jaroslav fragner galeria	53	2
378	pato hebert	56	1
379	czap gabor	76	2
380	vegh laszlo	78	6
381	szabados arpad festoes	55	2
382	simon peter bence	62	4
383	takacs janos	70	2
384	nemeslamperth jozsef	57	2
385	olah katalin kinga	69	6
386	matthias meyer	54	2
387	marcus zobl	61	2
388	gerzsonliptak orsolya	59	2
389	sipeki zoltan uvegmuveszek	53	2
390	gueth peter	70	2
391	toplak zoltan	72	2
392	fuszenecker ferenc	58	2
393	ablonczy balazs	64	3
394	ilona keseru ilonakossuth	47	1
395	antal nikolett	54	1
396	kurucz ferenc	62	2
397	andriusz venclova	55	2
398	alina kunitsyna	62	2
399	dul antal	67	2
400	szephelyi juli	58	1
401	zarko aleksic	58	2
402	lichner barbara	67	2
403	gador magda	61	3
404	vitray tamas	72	4
405	mke doktori iskola	56	4
406	halasz janos nemzeti eroforras miniszteriumanak	43	2
407	filip ruisl	53	3
408	yoo jinsang	55	1
409	galambosi daniel	60	10
410	lux antal de	67	2
411	kun eva	67	11
412	louise mccagg	52	2
413	bartha laszlo	75	6
414	geczi istvan	64	1
415	follard barbara	67	20
416	piotr skiba	61	1
417	alban muja	60	2
418	marina kaljurand	59	2
419	tubakos adam	70	2
420	katharina swoboda	65	2
421	mezey katalin	69	2
422	nemeth geza	52	7
423	seelenfreund salamon	49	2
424	alissa nirgi	56	2
425	szuts kata	61	2
426	barabasi albertlaszlo	65	2
427	sanni seppa	56	1
428	vida kriszta	64	4
429	moholynagy muveszeti egyetem media intezetenek	45	3
430	balogh gyula	72	8
431	domjan jozsef	67	2
432	vojnitspurcsar vito	45	4
433	vizy sara	63	4
434	luzsicza arpad	55	6
435	nordin eszter	62	1
436	hanneke fruhauf	50	2
437	giuliana carbi	57	2
438	igor bosnjak	54	1
439	leonid tsoy	60	2
440	sergio moscona	54	4
441	martos gabor muzeumcafe	60	2
442	roderick buchanan	52	6
443	boros ilona	57	1
444	gajdo kristof	56	2
445	harsanyi reka dla	57	3
446	sass valeria munkacsydijas	49	2
447	konkolythege gyorgy	65	6
448	nadine siegert	59	1
449	albrecht julia	62	4
450	pkukacviragok tanckar	53	1
451	kelsey adams	58	2
452	arne maasik	55	2
453	deli anett	61	9
454	erhardt gabor	67	2
455	palinkas bence	59	10
456	nemet hajnal	67	2
457	rendezte mohay orsolya	59	3
458	aknay janos eike	60	2
459	hadhazi laszlo	79	5
460	dobrontei zoltan	67	2
461	ursula mayer	55	3
462	john morris	53	2
463	jakab tibor	67	2
464	detvay jeno eugene	53	3
465	zielinski tibor	59	3
466	lucia nimcovairena paskali	47	2
467	gora orsolya	62	15
468	hermann nitsch	61	9
469	moga sebok erzsebet	71	1
470	blasko bori tancmuveszek	54	2
471	locsmandi gabor phd nyug	56	2
472	keresztury tibor	62	2
473	poos zoltan	67	2
474	dao thi tam	57	1
475	antoine beaupre	55	2
476	sarkics eszter	74	2
477	richard paul lohse	59	2
478	megyes laszlo	81	2
479	pasi pauni	60	2
480	ef zambo szonja	54	3
481	kocsis csaba	61	2
482	baan laszlo	75	10
483	nemeth peter	67	4
484	szepsy istvan	74	2
485	isaak silard	69	1
486	kallai kata	76	5
487	kozremukodik szilagyi sandor bellszenesz	49	2
488	diana sajdova	69	2
489	goethe intezet	54	5
490	je suis belle	53	2
491	goncz kinga	62	6
492	kecseti gabriella	69	3
493	pal csaba nagy geza	52	2
494	clemens scholl	54	1
495	maria gardizi	54	2
496	magyar gergely	71	2
497	szekely sebestyen	53	2
498	torok feri	67	2
499	trt bb	47	2
500	szucs edit	57	2
501	donka gergely	67	3
502	der geringste widerstand	55	2
503	djanjang purwo sedjati	47	2
504	file csilla	56	2
505	schnabel zita	52	2
506	anne szefer karlsen	55	2
507	barta gyongyi csellon	53	2
508	borlai gergo	64	2
509	brzozka helena	77	2
510	viktor ribas	65	2
511	ulrike rosenbach	50	2
512	almasi laszlo	75	2
513	borsos janos	70	27
514	varasdy ivan	67	2
515	sarah gunther	62	2
516	bako tamas	76	21
517	farkas zsuzsa	59	7
518	fiatal kepzomuveszek studioja alapitvany	50	2
519	neogradykiss barnabas	53	27
520	szabo bernadett	80	3
521	veszpremi imre	62	2
522	severo sapirico	59	5
523	petho aniko	64	2
524	hammerstein judit	64	3
